key,name,pos,team,bye,std,half_ppr,ppr,rush_yds,df_points_allowed_per_game,rush_tds,df_sacks,pass_yds,reception_tds,reception_yds,kick_extra_points,pass_ints,kick_30_39,fumbles,kick_40_49,df_fumbles,df_ints,kick_20_29,kick_0_19,df_tds,receptions,pass_tds,df_safeties,kick_50,two_pts
browns_DST_CLE,Browns,DST,CLE,9,268.0,274.0,273.0,,22.2,,40.5,,,,,,,10.4,,10.4,14.2,,,1.8,,,0.3,,
slye_K_CAR,Joey Slye,K,CAR,13,270.0,285.0,266.5,,,,,,,,31.6,,7.2,,8.5,,,6.5,0.4,,,,,4.6,
samuels_RB_PIT,Jaylen Samuels,RB,PIT,8,271.0,268.0,236.0,92.7,,0.6,,,0.6,110.9,,,,0.0,,,,,,,15.3,,,,0.0
hamler_WR_DEN,KJ Hamler,WR,DEN,8,272.0,290.0,277.0,10.5,,0.0,,,2.2,420.2,,0.0,,0.5,,,,,,0.0,30.0,,,,
conley_WR_JAX,Chris Conley,WR,JAX,7,273.0,288.0,274.0,0.5,,0.0,,,3.1,584.5,,0.0,,1.0,,,,,,,42.0,,,,
lewis_RB_NYG,Dion Lewis,RB,NYG,11,275.0,271.0,243.0,176.7,,0.9,,,0.5,132.5,,,,0.7,,,,,,,21.5,,,,
thomas_TE_WSH,Logan Thomas,TE,WSH,8,276.0,320.0,335.0,0.3,,0.0,,,1.9,343.1,,,,1.0,,,,,,,33.3,,,,
everett_TE_LAR,Gerald Everett,TE,LAR,9,278.0,287.0,275.5,1.0,,0.0,,,2.4,376.2,,0.0,,0.0,,,,,,,34.0,,,,
myers_K_SEA,Jason Myers,K,SEA,6,279.0,291.0,254.7,,,,,,,,37.6,,9.3,,8.0,,,6.4,0.5,,,,,3.7,
boswell_K_PIT,Chris Boswell,K,PIT,8,283.0,295.0,227.3,,,,,,,,33.6,,7.7,,9.2,,,8.2,0.5,,,,,3.2,
amendola_WR_DET,Danny Amendola,WR,DET,5,284.0,277.0,248.0,1.1,,0.0,,,3.5,702.7,,0.0,,1.0,,,,,,,63.9,,,,
burkhead_RB_NE,Rex Burkhead,RB,NE,6,285.0,298.0,262.5,229.7,,2.1,,,0.8,205.4,,,,1.0,,,,,,,21.7,,,,
stidham_QB_NE,Jarrett Stidham,QB,NE,6,286.0,299.0,289.0,4.0,,0.0,,162.1,,,,0.7,,0.1,,,,,,,,0.8,,,0.5
boykin_WR_BAL,Miles Boykin,WR,BAL,8,287.0,300.0,281.0,0.4,,0.0,,,3.3,353.7,,0.0,,0.0,,,,,,,25.2,,,,
bullock_K_CIN,Randy Bullock,K,CIN,9,288.0,269.0,288.0,,,,,,,,29.3,,9.3,,8.8,,,7.4,0.5,,,,,3.3,
thompson_RB_KC,Darwin Thompson,RB,KC,10,289.0,303.0,294.0,172.9,,1.2,,,0.1,63.9,,,,0.6,,,,,,,10.2,,,,0.0
texans_DST_HOU,Texans,DST,HOU,8,290.0,307.0,274.3,,22.9,,34.2,,,,,,,11.4,,11.4,12.6,,,1.7,,,0.2,,
pascal_WR_IND,Zach Pascal,WR,IND,7,292.0,305.0,293.0,10.9,,0.0,,,2.1,324.2,,,,0.0,,,,,,,23.3,,,,
mcdonald_TE_PIT,Vance McDonald,TE,PIT,8,293.0,297.0,270.5,2.0,,0.0,,,2.3,323.9,,0.0,,1.0,,,,,,,34.4,,,,
foles_QB_CHI,Nick Foles,QB,CHI,11,294.0,312.0,303.0,21.9,,0.2,,1681.9,,,,6.0,,0.9,,,,,,,,9.2,,,0.8
mckinnon_RB_SF,Jerick McKinnon,RB,SF,11,295.0,247.5,234.3,392.2,,2.5,,,1.0,232.0,,,,1.2,,,,,,,26.7,,,,0.8
gostkowski_K_TEN,Stephen Gostkowski,K,TEN,7,296.0,309.0,252.3,,,,,,,,38.0,,7.7,,6.4,,,6.7,0.3,,,,,2.5,
tate_WR_CIN,Auden Tate,WR,CIN,9,297.0,304.0,290.0,0.2,,0.0,,,1.4,296.7,,,,1.0,,,,,,,21.0,,,,
