key,name,pos,team,bye,std,half_ppr,ppr,reception_yds,kick_40_49,pass_ints,pass_tds,kick_0_19,df_points_allowed_per_game,rush_tds,df_safeties,kick_30_39,pass_yds,df_fumbles,df_tds,df_sacks,df_ints,kick_extra_points,receptions,reception_tds,rush_yds,kick_20_29,two_pts,fumbles,kick_50
warren_RB_PIT,Jaylen Warren,RB,PIT,9.0,86,85,84,341.7,,,,,,3.7,,,,,,,,,49.3,1.3,674.0,,,1.5,
ekeler_RB_WSH,Austin Ekeler,RB,WSH,14.0,91,92,85,365.0,,,,,,4.7,,,,,,,,,44.0,2.0,517.0,,,2.0,
brooks_RB_CAR,Jonathon Brooks,RB,CAR,11.0,87,94,86,198.0,,,,,,5.0,,,,,,,,,25.7,1.0,700.7,,,2.0,
johnson_WR_CAR,Diontae Johnson,WR,CAR,11.0,89,87,87,865.7,,,,,,0.0,,,,,,,,,71.0,6.0,12.0,,,0.5,
worthy_WR_KC,Xavier Worthy,WR,KC,6.0,82,89,88,893.5,,,,,,0.0,,,,,,,,,60.0,6.0,16.5,,,2.0,
robinson_RB_WSH,Brian Robinson Jr.,RB,WSH,14.0,93,91,89,251.7,,,,,,5.7,,,,,,,,,29.3,2.0,783.0,,,1.5,
moss_RB_CIN,Zack Moss,RB,CIN,12.0,83,82,90,230.7,,,,,,6.0,,,,,,,,,33.0,1.7,719.0,,,1.0,
purdy_QB_SF,Brock Purdy,QB,SF,9.0,97,90,91,,,10.0,32.0,,,2.0,,,4118.5,,,,,,,,160.0,,,2.5,
chubb_RB_CLE,Nick Chubb,RB,CLE,10.0,88,88,92,186.0,,,,,,6.0,,,,,,,,,23.5,1.0,839.0,,,1.0,
singletary_RB_NYG,Devin Singletary,RB,NYG,11.0,84,84,93,212.0,,,,,,5.0,,,,,,,,,33.0,0.7,853.7,,,1.0,
bowers_TE_LV,Brock Bowers,TE,LV,10.0,92,96,94,733.5,,,,,,,,,,,,,,,64.5,5.0,,,,1.5,
spears_RB_TEN,Tyjae Spears,RB,TEN,5.0,103,99,95,341.7,,,,,,3.3,,,,,,,,,44.3,1.7,597.7,,,1.0,
odunze_WR_CHI,Rome Odunze,WR,CHI,7.0,94,93,96,864.3,,,,,,0.0,,,,,,,,,62.7,5.7,10.7,,,1.5,
hopkins_WR_TEN,DeAndre Hopkins,WR,TEN,5.0,100,102,97,828.7,,,,,,0.0,,,,,,,,,63.3,6.3,4.7,,,0.5,
mcconkey_WR_LAC,Ladd McConkey,WR,LAC,5.0,95,105,98,818.7,,,,,,0.0,,,,,,,,,65.0,5.3,11.3,,,3.0,
watson_WR_GB,Christian Watson,WR,GB,10.0,98,100,99,784.3,,,,,,0.5,,,,,,,,,53.0,8.0,30.7,,,0.5,
smithnjigba_WR_SEA,Jaxon Smith-Njigba,WR,SEA,10.0,104,106,100,778.3,,,,,,0.0,,,,,,,,,70.7,5.3,3.3,,,0.5,
brown_WR_KC,Hollywood Brown,WR,KC,6.0,101,95,101,748.7,,,,,,0.0,,,,,,,,,55.3,6.0,14.3,,,0.5,
coleman_WR_BUF,Keon Coleman,WR,BUF,12.0,106,114,102,805.0,,,,,,0.0,,,,,,,,,59.3,5.3,6.3,,,1.5,
daniels_QB_WSH,Jayden Daniels,QB,WSH,14.0,102,97,103,,,14.5,23.5,,,5.5,,,3500.5,,,,,,,,583.0,,,4.5,
tucker_K_BAL,Justin Tucker,K,BAL,14.0,143,119,104,,9.7,,,0.3,,,,9.0,,,,,,49.0,,,,8.5,,,4.1
williams_QB_CHI,Caleb Williams,QB,CHI,7.0,99,98,105,,,13.5,26.5,,,4.0,,,3670.0,,,,,,,,428.5,,,4.5,
elliott_RB_DAL,Ezekiel Elliott,RB,DAL,7.0,109,109,106,202.3,,,,,,5.3,,,,,,,,,29.3,1.3,634.0,,,1.0,
addison_WR_MIN,Jordan Addison,WR,MIN,6.0,96,101,107,851.0,,,,,,0.0,,,,,,,,,64.7,6.0,6.7,,,0.5,
goedert_TE_PHI,Dallas Goedert,TE,PHI,5.0,112,107,108,737.5,,,,,,,,,,,,,,,67.0,5.0,,,,0.5,
aubrey_K_DAL,Brandon Aubrey,K,DAL,7.0,140,118,109,,7.3,,,0.3,,,,10.8,,,,,,45.5,,,,8.5,,,5.3
ers_DST_SF,49ers,DST,SF,9.0,162,125,110,,,,,,19.9,,0.5,,,11.0,3.0,44.5,14.5,,,,,,,11.0,
edwards_RB_LAC,Gus Edwards,RB,LAC,5.0,113,111,111,155.0,,,,,,8.5,,,,,,,,,16.0,0.5,736.5,,,1.5,
goff_QB_DET,Jared Goff,QB,DET,5.0,108,104,112,,,10.0,30.0,,,1.0,,,4319.0,,,,,,,,49.5,,,3.0,
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,6.0,107,103,113,,,12.5,29.0,,,0.5,,,4197.0,,,,,,,,83.0,,,3.5,
brown_RB_CIN,Chase Brown,RB,CIN,12.0,105,108,114,338.5,,,,,,3.5,,,,,,,,,35.5,2.0,627.5,,,1.0,
butker_K_KC,Harrison Butker,K,KC,6.0,148,123,115,,7.9,,,0.3,,,,10.2,,,,,,48.7,,,,9.2,,,5.9
ford_RB_CLE,Jerome Ford,RB,CLE,10.0,111,113,116,259.5,,,,,,3.5,,,,,,,,,36.0,3.0,549.5,,,1.0,
sutton_WR_DEN,Courtland Sutton,WR,DEN,14.0,115,112,117,836.3,,,,,,0.0,,,,,,,,,63.3,6.3,2.0,,,1.5,
williams_WR_DET,Jameson Williams,WR,DET,5.0,116,115,118,762.5,,,,,,2.0,,,,,,,,,52.5,5.5,52.5,,,0.5,
hockenson_TE_MIN,T.J. Hockenson,TE,MIN,6.0,121,124,119,640.5,,,,,,,,,,,,,,,62.0,3.5,,,,1.0,
corum_RB_LAR,Blake Corum,RB,LAR,6.0,114,116,120,141.5,,,,,,5.0,,,,,,,,,16.5,1.0,581.0,,,2.0,
thomas_WR_JAX,Brian Thomas Jr.,WR,JAX,12.0,117,117,121,834.5,,,,,,0.0,,,,,,,,,61.5,5.0,12.0,,,1.5,
benson_RB_ARI,Trey Benson,RB,ARI,11.0,110,110,122,137.0,,,,,,5.0,,,,,,,,,17.5,1.0,642.0,,,2.0,
schultz_TE_HOU,Dalton Schultz,TE,HOU,14.0,125,121,123,605.0,,,,,,0.0,,,,,,,,,57.0,5.0,0.0,,,1.0,
ravens_DST_BAL,Ravens,DST,BAL,14.0,174,138,124,,,,,,19.6,,0.5,,,12.5,3.6,50.8,14.5,,,,,,,12.5,
cowboys_DST_DAL,Cowboys,DST,DAL,7.0,178,139,125,,,,,,21.3,,0.5,,,12.5,3.1,53.2,14.5,,,,,,,12.5,
jets_DST_NYJ,Jets,DST,NYJ,12.0,163,129,126,,,,,,21.0,,0.5,,,11.5,3.2,54.2,15.5,,,,,,,11.5,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,12.0,120,120,127,,,12.3,24.3,,,3.7,,,3890.7,,,,,,,,301.7,,,5.0,
shakir_WR_BUF,Khalil Shakir,WR,BUF,12.0,122,128,128,781.0,,,,,,0.0,,,,,,,,,60.0,5.0,8.0,,,0.0,
browns_DST_CLE,Browns,DST,CLE,10.0,192,154,129,,,,,,22.1,,0.5,,,10.5,2.9,48.6,14.0,,,,,,,10.5,
dobbins_RB_LAC,J.K. Dobbins,RB,LAC,5.0,119,130,130,199.0,,,,,,4.5,,,,,,,,,25.0,2.5,452.5,,,1.0,
herbert_QB_LAC,Justin Herbert,QB,LAC,,123,122,131,,,10.0,25.7,,,2.7,,,3817.0,,,,,,,,243.3,,,3.0,
freiermuth_TE_PIT,Pat Freiermuth,TE,PIT,9.0,127,127,132,596.7,,,,,,0.0,,,,,,,,,55.7,4.3,0.0,,,0.5,
koo_K_ATL,Younghoe Koo,K,ATL,12.0,171,166,133,,8.9,,,0.3,,,,10.4,,,,,,45.0,,,,9.9,,,5.9
rodgers_QB_NYJ,Aaron Rodgers,QB,NYJ,12.0,137,133,134,,,9.0,25.5,,,1.5,,,3760.0,,,,,,,,84.5,,,2.5,
lockett_WR_SEA,Tyler Lockett,WR,SEA,10.0,131,131,135,774.5,,,,,,0.0,,,,,,,,,65.0,5.5,3.0,,,0.5,
kmet_TE_CHI,Cole Kmet,TE,CHI,7.0,130,135,136,517.0,,,,,,0.0,,,,,,,,,52.7,4.7,1.0,,,0.5,
samuel_WR_BUF,Curtis Samuel,WR,BUF,12.0,118,126,137,663.0,,,,,,1.5,,,,,,,,,60.5,4.5,88.5,,,0.5,
charbonnet_RB_SEA,Zach Charbonnet,RB,SEA,10.0,124,137,138,220.5,,,,,,3.0,,,,,,,,,32.5,0.5,525.5,,,1.0,
doubs_WR_GB,Romeo Doubs,WR,GB,10.0,126,136,139,759.5,,,,,,0.0,,,,,,,,,59.0,6.5,3.0,,,0.5,
elliott_K_PHI,Jake Elliott,K,PHI,5.0,169,142,140,,7.8,,,0.3,,,,8.3,,,,,,46.5,,,,7.9,,,4.7
cousins_QB_ATL,Kirk Cousins,QB,ATL,12.0,134,132,141,,,10.0,27.0,,,1.7,,,3992.0,,,,,,,,101.3,,,4.5,
jeudy_WR_CLE,Jerry Jeudy,WR,CLE,10.0,136,147,142,842.5,,,,,,0.0,,,,,,,,,61.5,4.5,10.5,,,0.5,
fairbairn_K_HOU,Ka'imi Fairbairn,K,HOU,14.0,166,144,143,,7.2,,,0.3,,,,9.8,,,,,,45.0,,,,8.6,,,4.8
hubbard_RB_CAR,Chuba Hubbard,RB,CAR,11.0,129,140,144,178.0,,,,,,4.0,,,,,,,,,26.3,0.7,569.3,,,1.0,
meyers_WR_LV,Jakobi Meyers,WR,LV,10.0,135,141,145,695.0,,,,,,1.0,,,12.0,,,,,,60.5,5.5,18.5,,,0.5,
mcpherson_K_CIN,Evan McPherson,K,CIN,12.0,186,180,146,,9.0,,,0.3,,,,8.1,,,,,,46.3,,,,7.0,,,5.8
