key,name,pos,team,bye,std,half_ppr,ppr,kick_40_49,two_pts,receptions,df_fumbles,fumbles,pass_yds,df_points_allowed_per_game,df_tds,kick_extra_points,kick_0_19,rush_yds,reception_yds,pass_ints,df_safeties,kick_20_29,reception_tds,kick_50,pass_tds,df_sacks,kick_30_39,rush_tds,df_ints
higbee_TE_LAR,Tyler Higbee,TE,LAR,11.0,377,378,370,,,40.0,,0.0,,,,,,,499.0,,,,4.0,,,,,,
davis_RB_NYJ,Isaiah Davis,RB,NYJ,13.0,326,328,371,,,10.0,,0.0,,,,,,135.0,77.5,,,,0.0,,,,,1.0,
mccarthy_QB_MIN,J.J. McCarthy,QB,MIN,6.0,273,257,372,,,,,0.0,136.0,,,,,19.0,,1.0,,,,,1.0,,,0.0,
demercado_RB_KC,Emari Demercado,RB,KC,5.0,347,349,373,,,17.0,,3.0,,,,,,598.0,130.0,,,,1.0,,,,,2.0,
gray_TE_KC,Noah Gray,TE,KC,5.0,296,299,374,,,15.0,,0.0,,,,,,,138.0,,,,1.0,,,,,,
joly_TE_DEN,Justin Joly,TE,DEN,10.0,263,272,375,,,12.0,,0.0,,,,,,,105.0,,,,1.0,,,,,,
flacco_QB_CIN,Joe Flacco,QB,CIN,6.0,316,318,376,,,,,1.0,173.0,,,,,16.0,,1.0,,,,,1.0,,,0.0,
zaccheaus_WR_ATL,Olamide Zaccheaus,WR,ATL,11.0,325,327,377,,,37.0,,0.0,,,,,,9.5,353.0,,,,2.0,,,,,0.0,
singletary_RB_NYG,Devin Singletary,RB,NYG,8.0,355,297,379,,,4.0,,,,,,,,143.0,26.0,,,,0.0,,,,,1.0,
neal_RB_NO,Devin Neal,RB,NO,8.0,314,284,380,,,5.0,,0.0,,,,,,179.0,35.0,,,,0.0,,,,,2.0,
kmet_TE_CHI,Cole Kmet,TE,CHI,10.0,265,276,381,,,21.0,,0.0,,,,,,,221.0,,,,2.0,,,,,,
holani_RB_SEA,George Holani,RB,SEA,11.0,282,287,382,,,4.0,,0.0,,,,,,118.0,30.0,,,,0.0,,,,,1.0,
smith_RB_KC,Brashard Smith,RB,KC,5.0,322,324,384,,,21.0,,0.0,,,,,,179.0,141.0,,,,1.0,,,,,1.0,
johnson_WR_TB,Tez Johnson,WR,TB,10.0,268,279,385,,,0.0,,,,,,,,12.0,0.0,,,,0.0,,,,,0.0,
mims_WR_DEN,Marvin Mims Jr.,WR,DEN,10.0,286,289,387,,,24.0,,,,,,,,45.0,272.0,,,,2.0,,,,,0.0,
klare_TE_LAR,Max Klare,TE,LAR,11.0,285,273,389,,,11.0,,0.0,,,,,,,127.0,,,,1.0,,,,,,
walker_WR_BAL,Devontez Walker,WR,BAL,13.0,293,295,391,,,12.0,,,,,,,,0.0,166.0,,,,1.0,,,,,0.0,
cooper_WR_PHI,Darius Cooper,WR,PHI,10.0,294,296,392,,,3.0,,,,,,,,0.0,38.0,,,,0.0,,,,,0.0,
evans_TE_CAR,Mitchell Evans,TE,CAR,5.0,299,302,393,,,15.0,,0.0,,,,,,0.0,136.5,,,,1.0,,,,,0.0,
juszczyk_RB_SF,Kyle Juszczyk,RB,SF,8.0,309,312,394,,,24.0,,0.0,,,,,,10.5,209.0,,,,1.5,,,,,0.0,
miller_RB_NO,Kendre Miller,RB,NO,8.0,310,313,395,,,8.0,,0.0,,,,,,364.0,57.0,,,,0.0,,,,,4.0,
lane_WR_WSH,Jaylin Lane,WR,WSH,7.0,312,315,397,,,23.0,,,,,,,,0.0,281.0,,,,2.0,,,,,0.0,
sample_TE_CIN,Drew Sample,TE,CIN,6.0,318,320,400,,,15.0,,0.0,,,,,,0.0,122.5,,,,1.0,,,,,0.0,
allar_QB_PIT,Drew Allar,QB,PIT,9.0,319,321,401,,,,,0.0,102.0,,,,,8.0,,0.0,,,,,1.0,,,0.0,
klubnik_QB_NYJ,Cade Klubnik,QB,NYJ,13.0,320,322,402,,,,,0.0,116.5,,,,,8.0,,0.5,,,,,1.0,,,0.0,
thomas_TE_LV,Ian Thomas,TE,LV,13.0,324,326,403,,,4.0,,,,,,,,0.0,36.0,,,,0.0,,,,,0.0,
daniels_WR_LAR,CJ Daniels,WR,LAR,11.0,327,329,404,,,3.0,,,,,,,,0.0,43.0,,,,0.0,,,,,0.0,
calcaterra_TE_PHI,Grant Calcaterra,TE,PHI,10.0,330,332,406,,,13.0,,0.0,,,,,,0.0,132.5,,,,1.0,,,,,0.0,
chandler_RB_NO,Ty Chandler,RB,NO,8.0,333,335,409,,,12.0,,0.0,,,,,,144.0,57.0,,,,0.0,,,,,1.0,
virgil_WR_ARI,Reggie Virgil,WR,ARI,14.0,336,338,411,,,3.0,,,,,,,,0.0,39.0,,,,0.0,,,,,0.0,
burton_RB_CLE,Michael Burton,RB,CLE,11.0,338,340,413,,,6.0,,0.0,,,,,,10.0,40.0,,,,1.0,,,,,1.0,
kacmarek_TE_MIA,Will Kacmarek,TE,MIA,6.0,340,342,415,,,26.5,,1.0,,,,,,0.0,251.0,,,,2.0,,,,,0.0,
royer_TE_CLE,Joe Royer,TE,CLE,11.0,341,343,416,,,4.0,,,,,,,,0.0,33.0,,,,0.0,,,,,0.0,
hutchinson_WR_HOU,Xavier Hutchinson,WR,HOU,8.0,343,345,417,,,26.5,,0.0,,,,,,14.0,320.5,,,,2.0,,,,,0.0,
fant_TE_NO,Noah Fant,TE,NO,8.0,346,348,418,,,43.0,,3.0,,,,,,,421.0,,,,2.0,,,,,,
hibner_TE_BAL,Matt Hibner,TE,BAL,13.0,350,352,419,,,9.5,,0.0,,,,,,0.0,111.0,,,,1.0,,,,,0.0,
mills_QB_HOU,Davis Mills,QB,HOU,8.0,354,356,420,,,,,0.0,153.5,,,,,11.5,,0.5,,,,,1.0,,,0.0,
moore_WR_CAR,David Moore,WR,CAR,5.0,362,363,425,,,3.0,,,,,,,,11.0,37.0,,,,0.0,,,,,0.0,
johnson_RB_CHI,Roschon Johnson,RB,CHI,10.0,365,366,428,,,3.0,,0.0,,,,,,116.0,17.0,,,,0.0,,,,,3.0,
all_TE_CIN,Erick All Jr.,TE,CIN,6.0,370,371,433,,,26.0,,0.0,,,,,,0.0,228.0,,,,1.5,,,,,0.0,
endries_TE_CIN,Jack Endries,TE,CIN,6.0,372,373,435,,,13.0,,0.0,,,,,,,122.0,,,,1.0,,,,,,
hooper_TE_ATL,Austin Hooper,TE,ATL,11.0,376,377,436,,,25.0,,0.0,,,,,,,283.0,,,,2.0,,,,,,
koziol_TE_JAX,Tanner Koziol,TE,JAX,7.0,378,379,437,,,4.0,,,,,,,,0.0,37.0,,,,0.0,,,,,0.0,
jordan_RB_HOU,Jawhar Jordan,RB,HOU,8.0,380,381,438,,,11.0,,1.0,,,,,,218.0,87.0,,,,0.5,,,,,1.0,
felton_WR_MIN,Tai Felton,WR,MIN,6.0,382,383,439,,,4.0,,,,,,,,0.0,37.0,,,,0.0,,,,,0.0,
klein_TE_HOU,Marlin Klein,TE,HOU,8.0,384,385,441,,,19.5,,1.0,,,,,,0.0,194.0,,,,1.0,,,,,0.0,
horn_WR_CAR,Jimmy Horn Jr.,WR,CAR,5.0,385,386,442,,,0.0,,,,,,,,25.0,0.0,,,,0.0,,,,,0.0,
boerkircher_TE_JAX,Nate Boerkircher,TE,JAX,7.0,386,387,443,,,22.0,,1.0,,,,,,,237.0,,,,2.0,,,,,,
milroe_QB_SEA,Jalen Milroe,QB,SEA,11.0,389,390,445,,,,,0.0,89.0,,,,,14.0,,0.0,,,,,1.0,,,0.0,
mckee_QB_PHI,Tanner McKee,QB,PHI,10.0,394,395,446,,,,,0.0,141.0,,,,,10.0,,0.0,,,,,1.0,,,0.0,
bridgewater_QB_DET,Teddy Bridgewater,QB,DET,6.0,397,398,447,,,,,0.0,158.0,,,,,9.0,,0.5,,,,,1.0,,,0.0,
tillman_WR_CLE,Cedric Tillman,WR,CLE,11.0,398,399,448,,,34.0,,0.0,,,,,,-1.0,437.0,,,,4.0,,,,,0.0,
leonard_QB_IND,Riley Leonard,QB,IND,13.0,402,403,450,,,,,1.0,162.0,,,,,20.0,,0.0,,,,,1.0,,,0.0,
adkins_TE_DEN,Nate Adkins,TE,DEN,,411,412,457,,,16.0,,0.0,,,,,,,108.0,,,,3.0,,,,,,
ali_RB_BAL,Rasheen Ali,RB,BAL,,416,417,462,,,7.0,,0.0,,,,,,47.0,53.0,,,,1.0,,,,,0.0,
allen_TE_LAR,Davis Allen,TE,LAR,,420,421,466,,,26.0,,0.0,,,,,,,240.0,,,,3.0,,,,,,
