"","name","pos","pts_ppr_cbs","pts_cbs"
"345","De'Anthony Thomas","WR","11","5"
"346","Austin Carr","WR","10","5"
"347","Corey Fuller","WR","10","5"
"348","Markus Wheaton","WR","10","5"
"349","Marquez Valdes-Scantling","WR","10","5"
"350","Equanimeous St. Brown","WR","10","5"
"351","Nick Williams","WR","10","5"
"352","Jarius Wright","WR","9","4"
"353","Trey Quinn","WR","9","4"
"354","Richie James","WR","9","4"
"355","Justin Watson","WR","9","4"
"356","Wendall Williams","WR","9","4"
"357","Daurice Fountain","WR","9","4"
"358","Geremy Davis","WR","9","4"
"359","Harry Douglas","WR","9","4"
"360","Charone Peake","WR","9","4"
"361","Alex Erickson","WR","9","3"
"362","Jordan Lasley","WR","8","3"
"363","Ed Eagan","WR","8","3"
"364","Mike Thomas","WR","8","3"
"365","Reggie Davis","WR","7","3"
"366","Josh Malone","WR","7","3"
"367","Ryan Switzer","WR","7","3"
"368","Russell Gage","WR","7","3"
"369","Marcus Johnson","WR","7","3"
"370","Auden Tate","WR","7","3"
"371","Shelton Gibson","WR","7","3"
"372","Freddie Martino","WR","7","3"
"373","Javon Wims","WR","7","3"
"374","Tommylee Lewis","WR","6","3"
"375","Ray-Ray McCloud","WR","6","2"
"376","Maurice Harris","WR","6","2"
"377","Chris Matthews","WR","6","2"
"378","Darrius Heyward-Bey","WR","6","2"
"379","J.D. McKissic","WR","6","2"
"380","Shane Wynn","WR","6","2"
"381","Cody Core","WR","5","2"
"382","Trevor Davis","WR","5","2"
"383","Pharoh Cooper","WR","4","1"
"384","Marvin Hall","WR","4","1"
"385","Brittan Golden","WR","4","1"
"386","Jeff Janis","WR","4","1"
"387","Chris Thompson","WR","3","1"
"388","Noah Brown","WR","3","1"
"389","Jordan Taylor","WR","3","1"
"390","Andre Roberts","WR","3","0"
"391","Ced Wilson","WR","3","0"
"392","Arrelious Benn","WR","3","0"
"393","ArDarius Stewart","WR","2","0"
"394","Kalif Raymond","WR","2","0"
"395","Dwayne Harris","WR","1","0"
"396","Vince Mayle","WR","1","0"
"397","Isaiah McKenzie","WR","0","0"
"398","Justin Hardee","WR","0","0"
"399","Eric Weems","WR","0","-1"
"400","Travis Kelce","TE","229","141"
"401","Rob Gronkowski","TE","214","139"
"402","Zach Ertz","TE","186","111"
"403","Evan Engram","TE","162","95"
"404","Delanie Walker","TE","162","94"
"405","Jordan Reed","TE","162","94"
"406","Kyle Rudolph","TE","161","93"
"407","Jimmy Graham","TE","159","91"
"408","Trey Burton","TE","156","90"
"409","Greg Olsen","TE","146","86"
"410","Jack Doyle","TE","144","83"
"411","George Kittle","TE","141","82"
"412","Charles Clay","TE","139","81"
"413","Jared Cook","TE","130","75"
"414","Austin Seferian-Jenkins","TE","127","74"
"415","David Njoku","TE","127","74"
"416","Eric Ebron","TE","126","73"
"417","Benjamin Watson","TE","125","73"
"418","Cameron Brate","TE","123","73"
"419","Vance McDonald","TE","116","72"
"420","Vernon Davis","TE","115","71"
"421","Ricky Seals-Jones","TE","111","69"
"422","Tyler Eifert","TE","109","67"
"423","Mike Gesicki","TE","104","67"
"424","Hayden Hurst","TE","102","66"
"425","Austin Hooper","TE","101","56"
"426","Garrett Celek","TE","101","54"
"427","O.J. Howard","TE","101","51"
"428","Antonio Gates","TE","89","51"
"429","Luke Willson","TE","87","50"
"430","Jesse James","TE","87","47"
"431","Dallas Goedert","TE","85","46"
"432","Tyler Higbee","TE","80","45"
"433","Ryan Griffin","TE","79","41"
"434","Jeff Heuerman","TE","73","40"
