"","name","pos","pts_fox"
"562","Devin Street","WR","8.3"
"563","Josh Doctson","WR","8.0"
"564","Paul Turner","WR","8.0"
"565","Chris Harper","WR","8.0"
"566","Donteea Dye","WR","7.5"
"567","Alex Erickson","WR","7.4"
"568","Cody Core","WR","6.7"
"569","Freddie Martino","WR","6.5"
"570","Demarcus Ayers","WR","6.2"
"571","Wendall Williams","WR","6.0"
"572","Tavarres King","WR","5.4"
"573","Percy Harvin","WR","5.4"
"574","Tommylee Lewis","WR","5.2"
"575","Lucky Whitehead","WR","5.2"
"576","Geronimo Allison","WR","5.0"
"577","Quan Bray","WR","5.0"
"578","Byron Marshall","WR","4.8"
"579","Jarius Wright","WR","4.8"
"580","Aaron Burbridge","WR","4.6"
"581","Corey Fuller","WR","4.5"
"582","Brenton Bersin","WR","4.2"
"583","Rashad Ross","WR","3.7"
"584","Johnny Holton","WR","3.6"
"585","Mike Thomas","WR","2.8"
"586","Eric Weems","WR","2.7"
"587","Jakeem Grant","WR","2.6"
"588","Devin Hester","WR","2.0"
"835","Greg Olsen","TE","144.8"
"836","Delanie Walker","TE","127.3"
"837","Travis Kelce","TE","119.3"
"838","Rob Gronkowski","TE","100.1"
"839","Coby Fleener","TE","99.2"
"840","Jimmy Graham","TE","98.9"
"841","Jordan Reed","TE","96.0"
"842","Jason Witten","TE","91.5"
"843","Zach Ertz","TE","90.4"
"844","Martellus Bennett","TE","89.2"
"845","Gary Barnidge","TE","88.5"
"846","Eric Ebron","TE","87.8"
"847","Dennis Pitta","TE","87.2"
"848","Charles Clay","TE","82.9"
"849","Cameron Brate","TE","82.9"
"850","Clive Walford","TE","81.2"
"851","Hunter Henry","TE","78.2"
"852","Kyle Rudolph","TE","76.8"
"853","Lance Kendricks","TE","74.3"
"854","Antonio Gates","TE","71.2"
"855","Will Tye","TE","65.4"
"856","Jack Doyle","TE","63.0"
"857","Julius Thomas","TE","59.6"
"858","Dwayne Allen","TE","58.3"
"859","Richard Rodgers","TE","58.1"
"860","Jesse James","TE","56.1"
"861","Dion Sims","TE","53.1"
"862","Ryan Griffin","TE","52.8"
"863","Zach Miller","TE","51.6"
"864","Jared Cook","TE","51.5"
"865","Garrett Celek","TE","50.8"
"866","Vernon Davis","TE","48.7"
"867","Virgil Green","TE","48.6"
"868","Tyler Eifert","TE","48.2"
"869","C.J. Fiedorowicz","TE","48.0"
"870","Vance McDonald","TE","46.3"
"871","Jermaine Gresham","TE","43.3"
"872","Jacob Tamme","TE","42.5"
"873","Austin Hooper","TE","40.2"
"874","Darren Fells","TE","37.6"
"875","Larry Donnell","TE","33.4"
"876","Austin Seferian-Jenkins","TE","32.4"
"877","MarQueis Gray","TE","29.8"
"878","Luke Willson","TE","29.0"
"879","Ladarius Green","TE","28.3"
"880","Josh Hill","TE","28.2"
"881","Trey Burton","TE","27.0"
"882","Marcedes Lewis","TE","25.7"
"883","Crockett Gillmore","TE","25.7"
"884","Mychal Rivera","TE","23.9"
"885","C.J. Uzomah","TE","22.6"
"886","Ben Koyack","TE","21.8"
"887","Tyler Higbee","TE","21.7"
"888","Tyler Kroft","TE","20.4"
"889","Daniel Brown","TE","19.9"
"890","Xavier Grimble","TE","19.6"
"891","Demetrius Harris","TE","19.1"
"892","Ed Dickson","TE","18.4"
"893","John Phillips","TE","18.1"
"894","Logan Paulsen","TE","17.7"
"895","Levine Toilolo","TE","17.3"
"896","Jerell Adams","TE","16.7"
"897","Seth DeValve","TE","15.6"
"898","Jace Amaro","TE","13.9"
"899","Jordan Cameron","TE","13.2"
"900","Luke Stocker","TE","13.2"
"901","Nick O'Leary","TE","13.1"
"902","MyCole Pruitt","TE","12.9"
"903","Brandon Myers","TE","12.9"
"904","Brent Celek","TE","12.5"
"905","Brandon Bostick","TE","10.6"
"906","Kellen Davis","TE","10.4"
"907","Brandon Pettigrew","TE","10.3"
"908","Sean McGrath","TE","10.1"
"909","A.J. Derby","TE","9.3"
"910","Geoff Swaim","TE","8.3"
"911","Rhett Ellison","TE","7.8"
"912","Jeff Heuerman","TE","7.3"
"913","Stephen Anderson","TE","7.2"
"914","Ben Braunecker","TE","7.1"
"915","Randall Telfer","TE","6.6"
"916","David Johnson","TE","6.1"
"917","Lee Smith","TE","5.9"
"918","Gavin Escobar","TE","5.8"
"919","Anthony Fasano","TE","4.7"
"920","Nick Vannett","TE","4.3"
"921","Erik Swoope","TE","4.0"
"922","Niles Paul","TE","3.6"
"923","Cole Wick","TE","3.2"
"924","Blake Bell","TE","2.9"
"925","Justin Perillo","TE","2.7"
"926","Jim Dray","TE","2.2"
"927","Matt Lengel","TE","2.1"
"1073","Stephen Gostkowski","K","136.6"
"1074","Steven Hauschka","K","127.6"
"1075","Dan Bailey","K","127.0"
"1076","Justin Tucker","K","126.2"
"1077","Chris Boswell","K","125.9"
"1078","Matt Bryant","K","125.7"
"1079","Chandler Catanzaro","K","121.3"
"1080","Mason Crosby","K","120.8"
"1081","Dustin Hopkins","K","118.5"
"1082","Nick Novak","K","118.4"
"1083","Adam Vinatieri","K","118.4"
"1084","Cairo Santos","K","117.3"
"1085","Sebastian Janikowski","K","117.3"
"1086","Wil Lutz","K","115.9"
"1087","Graham Gano","K","115.9"
"1088","Brandon McManus","K","114.0"
"1089","Nick Folk","K","112.5"
"1090","Matt Prater","K","111.4"
"1091","Ryan Succop","K","110.4"
"1092","Connor Barth","K","109.6"
"1093","Andrew Franks","K","109.4"
"1094","Dan Carpenter","K","107.9"
"1095","Roberto Aguayo","K","104.3"
"1096","Phil Dawson","K","104.1"
"1097","Caleb Sturgis","K","103.6"
"1098","Greg Zuerlein","K","102.7"
"1099","Jason Myers","K","100.4"
