"","name","pos","pts_nfl"
"562","Dallas Goedert","TE",34.67
"563","Jeff Heuerman","TE",34.64
"564","Gerald Everett","TE",33.38
"565","Ian Thomas","TE",32.73
"566","Luke Willson","TE",32.64
"567","Rhett Ellison","TE",32.52
"568","Garrett Celek","TE",32.25
"569","Nick Vannett","TE",32.09
"570","Nick Boyle","TE",30.32
"571","Mike Gesicki","TE",29.27
"572","Jesse James","TE",26.42
"573","Niles Paul","TE",26.36
"574","Jonnu Smith","TE",26.02
"575","James O'Shaughnessy","TE",23
"576","Tyler Kroft","TE",22.69
"577","Mark Andrews","TE",21.29
"578","Levine Toilolo","TE",21.19
"579","Eric Tomlinson","TE",19.18
"580","Marcedes Lewis","TE",18.77
"581","C.J. Uzomah","TE",17.72
"582","Jordan Akins","TE",17.65
"583","Erik Swoope","TE",17.43
"584","Chris Herndon","TE",17.38
"585","Dalton Schultz","TE",17.22
"586","Virgil Green","TE",16.7
"587","Adam Shaheen","TE",16.54
"588","Rico Gathers","TE",16.04
"589","Dion Sims","TE",15.95
"590","Darren Fells","TE",15.65
"591","Maxx Williams","TE",15.38
"592","Lee Smith","TE",14.67
"593","Tyler Conklin","TE",14.13
"594","Richard Rodgers","TE",13.55
"595","Jordan Thomas","TE",12.85
"596","MarQueis Gray","TE",12.65
"597","Jason Croom","TE",12.49
"598","Alan Cross","TE",11.37
"599","Lance Kendricks","TE",11.33
"600","Jordan Leggett","TE",11.08
"601","David Morgan","TE",10.75
"602","Dwayne Allen","TE",10.39
"603","Geoff Swaim","TE",9.82
"604","Sean Culkin","TE",9.41
"605","Darrell Daniels","TE",9.1
"606","Xavier Grimble","TE",9.06
"607","Gabe Holmes","TE",8.78
"608","Michael Roberts","TE",8.76
"609","Alex Ellis","TE",8.33
"610","Jacob Hollister","TE",8.17
"611","Logan Thomas","TE",7.87
"612","Derek Carrier","TE",7.32
"613","Cole Wick","TE",7.26
"614","Johnny Mundt","TE",7.01
"615","Logan Paulsen","TE",6.24
"616","Eric Saubert","TE",5.83
"617","Jeremy Sprinkle","TE",5.82
"618","Antony Auclair","TE",5.32
"619","Luke Stocker","TE",5.21
"620","Chris Manhertz","TE",4.78
"621","Ryan Hewitt","TE",3.45
"622","Ben Braunecker","TE",1.83
"623","Daniel Brown","TE",1.26
"624","Clark Harris","TE",0.89
"625","Josh Perkins","TE",0.51
"626","Jerell Adams","TE",0
"627","Mo Alie-Cox","TE",0
"628","Julian Allen","TE",0
"629","Jace Amaro","TE",0
"630","Stephen Anderson","TE",0
"631","Brandon Barnes","TE",0
"632","Gary Barnidge","TE",0
"633","Marcus Baugh","TE",0
"634","Evan Baylis","TE",0
"635","Blake Bell","TE",0
"636","Alec Bloom","TE",0
"637","Braedon Bowman","TE",0
"638","Billy Brown","TE",0
"639","Pharaoh Brown","TE",0
"640","Paul Butler","TE",0
"641","Emanuel Byrd","TE",0
"642","Devon Cajuste","TE",0
"643","Kyle Carter","TE",0
"644","Asante Cleveland","TE",0
"645","Garrett Dickerson","TE",0
"646","Ed Dickson","TE",0
"647","Thomas Duarte","TE",0
"648","Ross Dwelley","TE",0
"649","Donnie Ernsberger","TE",0
"650","Gavin Escobar","TE",0
"651","Matt Flanagan","TE",0
"652","Coby Fleener","TE",0
"653","Jordan Franks","TE",0
"654","Troy Fumagalli","TE",0
"655","Manasseh Garner","TE",0
"656","DeAndre Goolsby","TE",0
"657","Alex Gray","TE",0
"658","Brandon Greene","TE",0
"659","Garrett Griffin","TE",0
"660","David Grinnage","TE",0
"661","Demetrius Harris","TE",0
"662","Temarrick Hemingway","TE",0
"663","Hunter Henry","TE",0
"664","Cole Hikutini","TE",0
"665","Bucky Hodges","TE",0
"666","Michael Hoomanawanui","TE",0
"667","Tyler Hoppes","TE",0
"668","Tanner Hudson","TE",0
"669","Cole Hunt","TE",0
"670","Ryan Izzo","TE",0
"671","Ben Johnson","TE",0
"672","Nick Keizer","TE",0
"673","Ben Koyack","TE",0
"674","Henry Krieger-Coble","TE",0
"675","Matt LaCosse","TE",0
"676","Stephen Gostkowski","K",131.59
"677","Wil Lutz","K",124.15
"678","Matt Bryant","K",122.98
"679","Chris Boswell","K",121.25
"680","Mason Crosby","K",120.92
"681","Caleb Sturgis","K",120.62
"682","Daniel Carlson","K",120.51
"683","Jake Elliott","K",119.8
"684","Greg Zuerlein","K",117.68
"685","Josh Lambo","K",117.55
"686","Dustin Hopkins","K",117
"687","Justin Tucker","K",114.93
"688","Phil Dawson","K",114.65
"689","Graham Gano","K",114.52
"690","Jason Sanders","K",113.87
"691","Robbie Gould","K",113.76
"692","Harrison Butker","K",112.68
"693","Chandler Catanzaro","K",112.26
"694","Randy Bullock","K",111.54
"695","Matt Prater","K",111.37
"696","Brandon McManus","K",110.73
"697","Mike Nugent","K",110.12
"698","Brett Maher","K",109.88
"699","Ryan Succop","K",109.68
"700","Sebastian Janikowski","K",108.76
"701","Adam Vinatieri","K",108.66
"702","Zane Gonzalez","K",108.21
"703","Aldrick Rosas","K",106.12
"704","Ka'imi Fairbairn","K",106.11
"705","Cody Parkey","K",104.95
"706","Jason Myers","K",103.44
"707","Stephen Hauschka","K",99.97
"708","Roberto Aguayo","K",0
"709","Mike Badgley","K",0
"710","Dan Bailey","K",0
"711","Taylor Bertolet","K",0
"712","Jon Brown","K",0
"713","Sam Ficken","K",0
"714","Kai Forbath","K",0
"715","Garrett Hartley","K",0
"716","Marshall Koehn","K",0
"717","Younghoe Koo","K",0
"718","David Marvin","K",0
"719","Matt McCrane","K",0
"720","Trevor Moore","K",0
"721","Eddy Pineiro","K",0
"722","Nick Rose","K",0
"723","Cairo Santos","K",0
"724","Giorgio Tavecchio","K",0
"725","Blair Walsh","K",0
"726","Jacksonville Jaguars DEF","DST",113.27
"727","New England Patriots DEF","DST",112.81
"728","Minnesota Vikings DEF","DST",112.46
"729","Denver Broncos DEF","DST",109.23
"730","Miami Dolphins DEF","DST",108.91
"731","Green Bay Packers DEF","DST",107.61
"732","Arizona Cardinals DEF","DST",107.51
"733","Chicago Bears DEF    View Videos","DST",107.47
"734","Los Angeles Rams DEF    View Videos","DST",107.23
"735","Cincinnati Bengals DEF","DST",107.1
"736","Buffalo Bills DEF","DST",106.77
"737","Baltimore Ravens DEF","DST",106.3
"738","Philadelphia Eagles DEF","DST",106.19
"739","Los Angeles Chargers DEF","DST",105.86
"740","Detroit Lions DEF    View Videos","DST",104.11
"741","Dallas Cowboys DEF","DST",103.2
"742","New York Jets DEF","DST",103.15
"743","Atlanta Falcons DEF","DST",102.93
"744","Carolina Panthers DEF","DST",102.55
"745","New York Giants DEF","DST",102.53
"746","Tennessee Titans DEF","DST",102.2
"747","Houston Texans DEF    View Videos","DST",101.74
"748","Washington Redskins DEF","DST",101.28
"749","Seattle Seahawks DEF","DST",100.66
"750","New Orleans Saints DEF","DST",100.23
"751","Pittsburgh Steelers DEF","DST",100.12
"752","Cleveland Browns DEF","DST",99.49
"753","Kansas City Chiefs DEF","DST",97.63
"754","Indianapolis Colts DEF","DST",97.44
"755","Oakland Raiders DEF","DST",97.21
"756","San Francisco 49ers DEF","DST",97.17
"757","Tampa Bay Buccaneers DEF","DST",96.68
