key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
davis_RB_BUF,Ray Davis,RB,BUF,,,,,,,,,,,,,,,,,,,,,,
davis_WR_NO,Shaquan Davis,WR,NO,,,,,,,,,,,,,,,,,,,,,,
davis_TE_GB,Tyler Davis,TE,GB,,,,,,,,,,,,,,,,,,,,,,
dinucci_QB_BUF,Ben DiNucci,QB,BUF,,,,,,,,,,,,,,,,,,,,,,
dorsett_WR_DEN,Phillip Dorsett,WR,DEN,,,,,,,,,,,,,,,,,,,,,,
dowell_WR_TEN,Colton Dowell,WR,TEN,,,,,,,,,,,,,,,,,,,,,,
driskel_QB_WSH,Jeff Driskel,QB,WSH,,,,,,,,,,,,,,,,,,,,,,
drummond_WR_ATL,Dylan Drummond,WR,ATL,,,,,,,,,,,,,,,,,,,,,,
dubose_WR_GB,Grant DuBose,WR,GB,,,,,,,,,,,,,,,,,,,,,,
durden_WR_DAL,David Durden,WR,DAL,,,,,,,,,,,,,,,,,,,,,,
dwelley_TE_ATL,Ross Dwelley,TE,ATL,,,,,,,,,,,,,,,,,,,,,,
edwards_RB_PIT,Daijun Edwards,RB,PIT,,,,,,,,,,,,,,,,,,,,,,
evans_RB_BUF,Darrynton Evans,RB,BUF,,,,,,,,,,,,,,,,,,,,,,
ezeike_TE_SEA,Michael Ezeike,TE,SEA,,,,,,,,,,,,,,,,,,,,,,
ezukanma_WR_MIA,Erik Ezukanma,WR,MIA,,,,,,,,,,,,,,,,,,,,,,
fairchild_TE_NO,Mason Fairchild,TE,NO,,,,,,,,,,,,,,,,,,,,,,
fant_TE_DAL,Princeton Fant,TE,DAL,,,,,,,,,,,,,,,,,,,,,,
farrell_TE_JAX,Luke Farrell,TE,JAX,,,,,,,,,,,,,,,,,,,,,,
fehoko_WR_LAC,Simi Fehoko,WR,LAC,,,,,,,,,,,,,,,,,,,,,,
felton_RB_IND,Demetric Felton,RB,IND,,,,,,,,,,,,,,,,,,,,,,
fenwick_RB_NE,DeShaun Fenwick,RB,NE,,,,,,,,,,,,,,,,,,,,,,
firkser_TE_NYJ,Anthony Firkser,TE,NYJ,,,,,,,,,,,,,,,,,,,,,,
fisk_TE_LAC,Tucker Fisk,TE,LAC,,,,,,,,,,,,,,,,,,,,,,
fitzpatrick_WR_PIT,Dez Fitzpatrick,WR,PIT,,,,,,,,,,,,,,,,,,,,,,
fitzpatrick_TE_ATL,John FitzPatrick,TE,ATL,,,,,,,,,,,,,,,,,,,,,,
foelsch_TE_PHI,Kevin Foelsch,TE,PHI,,,,,,,,,,,,,,,,,,,,,,
fordwheaton_WR_NYG,Bryce Ford-Wheaton,WR,NYG,,,,,,,,,,,,,,,,,,,,,,
foreman_WR_LV,Jeff Foreman,WR,LV,,,,,,,,,,,,,,,,,,,,,,
forristall_TE_LAR,Miller Forristall,TE,LAR,,,,,,,,,,,,,,,,,,,,,,
fotheringham_TE_LV,Cole Fotheringham,TE,LV,,,,,,,,,,,,,,,,,,,,,,
fountain_WR_DET,Daurice Fountain,WR,DET,,,,,,,,,,,,,,,,,,,,,,
franks_TE_CAR,Feleipe Franks,TE,CAR,,,,,,,,,,,,,,,,,,,,,,
fromm_QB_DET,Jake Fromm,QB,DET,,,,,,,,,,,,,,,,,,,,,,
funk_RB_DET,Jake Funk,RB,DET,,,,,,,,,,,,,,,,,,,,,,
garrison_TE_SEA,Devon Garrison,TE,SEA,,,,,,,,,,,,,,,,,,,,,,
gentry_TE_LV,Zach Gentry,TE,LV,,,,,,,,,,,,,,,,,,,,,,
gill_WR_LAC,Jaelen Gill,WR,LAC,,,,,,,,,,,,,,,,,,,,,,
gilliam_RB_BUF,Reggie Gilliam,RB,BUF,,,,,,,,,,,,,,,,,,,,,,
gore_RB_BUF,Frank Gore Jr.,RB,BUF,,,,,,,,,,,,,,,,,,,,,,
grandy_TE_CIN,Cam Grandy,TE,CIN,,,,,,,,,,,,,,,,,,,,,,
grier_QB_PHI,Will Grier,QB,PHI,,,,,,,,,,,,,,,,,,,,,,
griffin_WR_LV,Lideatrick Griffin,WR,LV,,,,,,,,,,,,,,,,,,,,,,
haener_QB_NO,Jake Haener,QB,NO,,,,,,,,,,,,,,,,,,,,,,
hairston_RB_HOU,Troy Hairston,RB,HOU,,,,,,,,,,,,,,,,,,,,,,
hall_RB_ARI,Hassan Hall,RB,ARI,,,,,,,,,,,,,,,,,,,,,,
