"","name","pos","team","vor","adp","pred","replace_value","experts","madden","href","bye"
"41","Matt Breida","RB","49ers",-16,145,71,87,89,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18424.png",11
"65","Austin Ekeler","RB","Chargers",-16,156,71,87,83,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18458.png",8
"66","Spencer Ware","RB","Chiefs",-16,200,71,87,86,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16020.png",12
"118","Doug Martin","RB","Raiders",-16,190,71,87,90,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/14885.png",7
"127","Rashaad Penny","RB","Seahawks",-16,87,71,87,90,76,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18585.png",7
"261","John Brown","WR","Ravens",-16,0,85,101,102,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16804.png",10
"357","Benjamin Watson","TE","Saints",-16,164,65,80,89,80,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/5557.png",6
"398","Wil Lutz","K","Saints",-16,181,127,142,127,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18104.png",6
"35","Marcus Mariota","QB","Titans",-17,140,197,214,263,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/17610.png",8
"84","Corey Clement","RB","Eagles",-18,127,69,87,85,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18425.png",9
"85","Darren Sproles","RB","Eagles",-18,206,69,87,77,83,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/8544.png",9
"250","Jordan Matthews","WR","Patriots",-18,0,83,101,99,77,NA,11
"388","Matt Prater","K","Lions",-19,211,124,142,124,82,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/11122.png",6
"295","George Kittle","TE","49ers",-20,138,60,80,95,77,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/18292.png",11
"336","Austin Seferian-Jenkins","TE","Jaguars",-20,210,60,80,67,81,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/16795.png",9
"362","Vance McDonald","TE","Steelers",-20,0,60,80,81,79,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/15853.png",7
"380","Adam Vinatieri","K","Colts",-20,207,122,142,122,84,"http://a.espncdn.com/combiner/i?img=/i/headshots/nfl/players/full/1097.png",9
