name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_espn
albert_wilson,WR,117.0,70.0,53.38,40.8,
donte_moncrief,WR,116.0,66.0,69.49,60.9,
jermaine_kearse,WR,115.0,66.0,89.22,87.4,
cameron_meredith,WR,114.0,65.0,100.88,62.1,
mike_wallace,WR,112.0,65.0,102.24,112.5,
chad_williams,WR,111.0,65.0,66.76,,
brandon_marshall,WR,111.0,65.0,44.9,160.4,
tyler_lockett,WR,110.0,65.0,77.76,76.7,
travis_benjamin,WR,108.0,63.0,81.81,135.9,
laquon_treadwell,WR,106.0,63.0,27.49,16.4,
dj_chark,WR,104.0,61.0,37.04,,
chris_conley,WR,104.0,61.0,68.0,60.0,
cole_beasley,WR,103.0,60.0,57.83,99.8,
john_ross,WR,103.0,60.0,91.98,,
trent_taylor,WR,102.0,60.0,61.5,,
trequan_smith,WR,100.0,60.0,41.28,,
tj_jones,WR,100.0,58.0,41.91,,
chris_godwin,WR,99.0,57.0,73.08,,
jj_nelson,WR,97.0,57.0,58.29,60.7,
danny_amendola,WR,95.0,56.0,129.89,81.6,
cordarrelle_patterson,WR,94.0,54.0,39.04,58.6,
phillip_dorsett,WR,93.0,54.0,56.13,100.8,
terrelle_pryor,WR,93.0,53.0,44.9,,
anthony_miller,WR,90.0,51.0,41.93,,
zay_jones,WR,88.0,51.0,64.32,,
taylor_gabriel,WR,84.0,50.0,58.22,37.2,
mike_williams,WR,84.0,50.0,31.43,,
willie_snead,WR,83.0,48.0,26.97,115.6,
terrance_williams,WR,83.0,48.0,74.59,88.6,
taywan_taylor,WR,81.0,45.0,22.51,,
cody_latimer,WR,80.0,44.0,52.24,11.1,
bruce_ellington,WR,79.0,42.0,67.34,,
jaron_brown,WR,78.0,42.0,43.0,19.1,
tyler_boyd,WR,77.0,41.0,88.06,72.6,
chris_moore,WR,73.0,41.0,30.92,9.4,
james_washington,WR,70.0,40.0,102.22,,
dante_pettis,WR,69.0,40.0,39.61,,
kevin_white,WR,64.0,40.0,82.52,35.9,
andre_holmes,WR,63.0,36.0,16.15,35.2,
curtis_samuel,WR,62.0,35.0,35.06,,
josh_reynolds,WR,60.0,34.0,21.04,,
mack_hollins,WR,59.0,34.0,20.75,,
torrey_smith,WR,58.0,32.0,52.21,109.2,
jakeem_grant,WR,58.0,32.0,36.32,2.6,
hunter_sharp,WR,54.0,31.0,,,
jeremy_kerley,WR,54.0,31.0,54.71,109.1,
sammie_coates,WR,53.0,29.0,10.25,72.8,
keke_coutee,WR,50.0,24.0,29.21,,
justin_hardy,WR,39.0,23.0,22.72,36.0,
jmon_moore,WR,30.0,15.0,,,
daesean_hamilton,WR,29.0,15.0,29.65,,
brandon_lafell,WR,29.0,15.0,79.54,111.2,
rashard_higgins,WR,20.0,14.0,44.54,22.0,
justin_hunter,WR,20.0,9.0,,42.2,
tajae_sharpe,WR,19.0,9.0,55.33,87.8,
eli_rogers,WR,16.0,8.0,,58.8,
josh_bellamy,WR,16.0,8.0,20.7,44.3,
kendrick_bourne,WR,15.0,6.0,42.87,,
damiere_byrd,WR,15.0,6.0,21.76,,
demarcus_robinson,WR,13.0,6.0,22.44,,
tavon_austin,WR,13.0,5.0,,99.0,
travis_rudolph,WR,12.0,5.0,,,
deanthony_thomas,WR,11.0,5.0,,12.1,
austin_carr,WR,10.0,5.0,3.34,,
corey_fuller,WR,10.0,5.0,,4.5,
markus_wheaton,WR,10.0,5.0,,48.2,
marquez_valdes-scantling,WR,10.0,5.0,27.61,,
equanimeous_st_brown,WR,10.0,5.0,,,
nick_williams,WR,10.0,5.0,,,
jarius_wright,WR,9.0,4.0,,4.8,
trey_quinn,WR,9.0,4.0,26.73,,
richie_james,WR,9.0,4.0,,,
justin_watson,WR,9.0,4.0,15.3,,
wendall_williams,WR,9.0,4.0,,6.0,
daurice_fountain,WR,9.0,4.0,0.0,,
geremy_davis,WR,9.0,4.0,5.91,,
harry_douglas,WR,9.0,4.0,,28.8,
charone_peake,WR,9.0,4.0,,8.7,
alex_erickson,WR,9.0,3.0,0.0,7.4,
jordan_lasley,WR,8.0,3.0,19.76,,
ed_eagan,WR,8.0,3.0,,,
mike_thomas,WR,8.0,3.0,,2.8,
reggie_davis,WR,7.0,3.0,0.0,,
josh_malone,WR,7.0,3.0,28.02,,
