key,name,pos,team,bye,adp,rush_yds,kick_50,df_ints,fumbles,df_safeties,reception_yds,receptions,pass_yds,kick_40_49,kick_30_39,df_points_allowed_per_game,reception_tds,kick_0_19,df_tds,df_fumbles,rush_tds,pass_ints,df_sacks,kick_extra_points,kick_20_29,pass_tds,two_pts
grier_QB_CAR,Will Grier,QB,CAR,,-1.0,5.2,,,0.1,,,,192.8,,,,,,,,0.1,1.1,,,,1.0,0.6
griffin_QB_BAL,Robert Griffin III,QB,BAL,,-1.0,13.1,,,0.1,,,,168.6,,,,,,,,0.1,0.5,,,,0.9,0.5
griffin_QB_TB,Ryan Griffin,QB,TB,,-1.0,13.0,,,,,,,297.0,,,,,,,,0.0,2.0,,,,2.0,
griffin_TE_NO,Garrett Griffin,TE,NO,,-1.0,,,,0.0,,98.0,12.0,,,,,2.0,,,,,,,,,,
grimble_TE_PIT,Xavier Grimble,TE,PIT,,-1.0,0.2,,,1.0,,131.3,11.4,,,,,0.9,,,,0.0,,,,,,
guice_RB_WSH,Derrius Guice,RB,WSH,,-1.0,890.0,,,,,251.0,32.0,,,,,1.0,,,,7.0,,,,,,
hall_WR_CHI,Marvin Hall,WR,CHI,,-1.0,13.7,,,0.0,,113.4,7.2,,,,,0.5,,,,0.0,,,,,,
ham_RB_MIN,CJ Ham,RB,MIN,,-1.0,18.9,,,0.0,,39.1,5.1,,,,,0.1,,,,0.0,,,,,,0.0
hardy_WR_ATL,Justin Hardy,WR,ATL,,-1.0,0.8,,,,,173.9,15.6,,,,,1.5,,0.1,,0.0,,,,,,
harmon_WR_WSH,Kelvin Harmon,WR,WSH,,-1.0,0.0,,,,,258.0,19.0,,,,,1.0,,,,0.0,,,,,,
harris_TE_CLE,Demetrius Harris,TE,CLE,,-1.0,0.4,,,0.0,,135.4,12.6,,,,,1.6,,,,0.0,0.0,,,,,
harris_WR_OAK,Dwayne Harris,WR,OAK,,-1.0,21.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,
haskins_QB_WSH,Dwayne Haskins,QB,WSH,,-1.0,46.0,,,,,,,2707.0,,,,,,,,1.0,11.0,,,,14.0,
hemingway_TE_CAR,Temarrick Hemingway,TE,CAR,,-1.0,,,,0.0,,106.0,11.0,,,,,1.0,,,,,,,,,,
henne_QB_KC,Chad Henne,QB,KC,,-1.0,3.0,,,0.0,,,,141.6,,,,,,,,0.0,0.3,,,,0.8,0.3
hill_RB_ATL,Brian Hill,RB,ATL,,-1.0,319.1,,,0.9,,36.1,6.0,,,,,0.3,,,,2.2,,,,,,0.0
hill_TE_NO,Josh Hill,TE,NO,,-1.0,0.2,,,1.0,,142.5,15.8,,,,,1.2,,,,0.0,,,,,,
hilliard_RB_CLE,Dontrell Hilliard,RB,CLE,,-1.0,20.3,,,0.0,,87.4,8.3,,,,,0.2,,0.0,,0.1,,,,,,0.0
hollins_WR_PHI,Mack Hollins,WR,PHI,,-1.0,0.3,,,,,61.6,4.2,,,,,0.2,,,,0.0,,,,,,
homer_RB_SEA,Travis Homer,RB,SEA,,-1.0,37.0,,,,,27.0,3.0,,,,,0.0,,,,0.0,,,,,,
hopkins_K_WSH,Dustin Hopkins,K,WSH,,-1.0,,0.0,,,,,,,8.0,,,,,,,,,,29.0,,,
hoyer_QB_NE,Brian Hoyer,QB,NE,,-1.0,1.4,,,0.1,,,,153.8,,,,,,,,0.1,0.6,,,,0.9,0.1
hudson_TE_TB,Tanner Hudson,TE,TB,,-1.0,,,,0.0,,144.0,12.0,,,,,1.0,,,,,,,,,,
hundley_QB_ARI,Brett Hundley,QB,ARI,,-1.0,7.9,,,0.0,,,,154.9,,,,,,,,0.1,1.0,,,,0.9,0.4
hurns_WR_DAL,Allen Hurns,WR,DAL,,-1.0,0.2,,,,,60.4,4.2,,,,,0.4,,,,0.0,,,,,,
izzo_TE_NE,Ryan Izzo,TE,NE,,-1.0,0.1,,,,,39.4,3.6,,,,,0.1,,,,0.0,,,,,,
jackson_RB_DAL,Darius Jackson,RB,DAL,,-1.0,35.4,,,0.1,,27.5,4.7,,,,,0.2,,,,0.3,,,,,,0.0
james_WR_SF,Richie James,WR,SF,,-1.0,0.0,,,,,44.0,3.0,,,,,0.0,,,,0.0,,,,,,
janovich_RB_DEN,Andy Janovich,RB,DEN,,-1.0,7.1,,,0.0,,73.6,10.1,,,,,0.2,,,,0.0,,,,,,0.0
jennings_WR_SEA,Gary Jennings Jr.,WR,SEA,,-1.0,0.0,,,,,321.0,26.0,,,,,2.0,,,,0.0,,,,,,
jennings_WR_TEN,Darius Jennings,WR,TEN,,-1.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,
johnson_RB_NE,Jakob Johnson,RB,NE,,-1.0,,,,0.0,,125.0,12.0,,,,,1.0,,,,,,,,,,
johnson_WR_ARI,KeeSean Johnson,WR,ARI,,-1.0,0.0,,,,,127.0,10.0,,,,,1.0,,,,0.0,,,,,,
jones_RB_HOU,Taiwan Jones,RB,HOU,,-1.0,,,,,,70.9,6.5,,,,,0.3,,,,0.0,,,,,,
keenum_QB_WSH,Case Keenum,QB,WSH,,-1.0,36.0,,,,,,,1249.0,,,,,,,,0.0,4.0,,,,6.0,
kemp_WR_KC,Marcus Kemp,WR,KC,,-1.0,1.1,,,,,61.1,3.3,,,,,0.2,,,,,,,,,,
kizer_QB_GB,DeShone Kizer,QB,GB,,-1.0,9.1,,,0.1,,,,145.1,,,,,,,,0.1,0.5,,,,0.8,0.5
koyack_TE_JAC,Ben Koyack,TE,JAC,,-1.0,,,,0.0,,96.0,12.0,,,,,1.0,,,,,,,,,,
lambo_K_JAX,Josh Lambo,K,JAX,,-1.0,,0.0,,,,,,,8.6,7.9,,,0.1,,,,,,28.5,7.6,,
lasley_WR_BAL,Jordan Lasley,WR,BAL,,-1.0,0.0,,,,,33.0,3.0,,,,,0.0,,,,0.0,,,,,,
latimer_WR_NYG,Cody Latimer,WR,NYG,,-1.0,0.3,,,0.0,,306.4,20.1,,,,,1.7,,,,0.0,,,,,,
lee_WR_JAX,Marqise Lee,WR,JAX,,-1.0,17.5,,,0.0,,698.9,56.7,,,,,3.6,,,,0.0,0.0,,,,,
lewis_TE_GB,Marcedes Lewis,TE,GB,,-1.0,0.2,,,0.0,,66.1,5.4,,,,,0.8,,,,0.0,,,,,,
lewis_WR_DET,Tommylee Lewis,WR,DET,,-1.0,24.4,,,0.0,,39.4,1.9,,,,,0.2,,,,0.0,,,,,,
line_RB_NO,Zach Line,RB,NO,,-1.0,42.4,,,0.0,,29.2,5.3,,,,,0.7,,,,0.1,,,,,,0.0
logan_RB_ARI,T.J. Logan,RB,ARI,,-1.0,41.4,,,0.5,,48.4,7.6,,,,,0.1,,,,0.4,,,,,,0.0
love_RB_WSH,Bryce Love,RB,WSH,,-1.0,34.0,,,,,42.0,5.0,,,,,0.0,,,,0.0,,,,,,
lynch_QB_SEA,Paxton Lynch,QB,SEA,,-1.0,0.8,,,0.1,,,,138.0,,,,,,,,0.0,0.6,,,,1.0,0.6
mack_TE_NO,Alize Mack,TE,NO,,-1.0,,,,0.0,,115.0,12.0,,,,,1.0,,,,,,,,,,
manhertz_TE_CAR,Chris Manhertz,TE,CAR,,-1.0,0.2,,,0.0,,68.2,4.8,,,,,0.4,,,,0.0,,,,,,
mannion_QB_MIN,Sean Mannion,QB,MIN,,-1.0,1.8,,,0.0,,,,124.6,,,,,,,,0.0,0.3,,,,0.1,0.4
marshall_RB_WSH,Byron Marshall,RB,WSH,,-1.0,0.0,,,,,0.0,0.0,,,,,0.0,,,,0.0,,,,,,
matthews_WR_NO,Rishard Matthews,WR,NO,,-1.0,0.0,,,,,95.0,7.0,,,,,1.0,,,,0.0,,,,,,
matthews_WR_SF,Jordan Matthews,WR,SF,,-1.0,0.2,,,0.0,,280.6,18.8,,,,,1.9,,,,0.0,,,,,,
mccarron_QB_HOU,AJ McCarron,QB,HOU,,-1.0,2.5,,,0.0,,,,121.0,,,,,,,,0.0,0.0,,,,1.0,
mckenzie_WR_BUF,Isaiah McKenzie,WR,BUF,,-1.0,53.0,,,0.0,,101.9,7.4,,,,,0.4,,0.0,,0.6,,,,,,
mckissic_RB_SEA,J.D. McKissic,RB,SEA,,-1.0,126.0,,,1.0,,136.0,17.5,,,,,1.5,,,,0.5,,,,,,
mclaurin_WR_WSH,Terry McLaurin,WR,WSH,,-1.0,0.0,,,,,341.0,26.0,,,,,2.0,,,,0.0,,,,,,
mcsorley_QB_BAL,Trace McSorley,QB,BAL,,-1.0,28.0,,,,,,,0.0,,,,,,,,0.0,0.0,,,,0.0,
miller_WR_TB,Scotty Miller,WR,TB,,-1.0,0.0,,,,,125.0,10.0,,,,,1.0,,,,0.0,,,,,,
