key,name,pos,team,bye,std,half_ppr,ppr,fumbles,df_points_allowed_per_game,kick_30_39,pass_tds,reception_tds,kick_extra_points,df_fumbles,kick_50,df_tds,df_ints,two_pts,df_sacks,kick_40_49,rush_tds,pass_yds,kick_0_19,receptions,reception_yds,pass_ints,df_safeties,rush_yds,kick_20_29
carter_RB_NYJ,Michael Carter,RB,NYJ,6.0,92.5,91.3,91.8,1.7,,,,0.8,,,,,,0.0,,,3.6,,,25.3,206.2,,,518.7,
dillon_RB_GB,AJ Dillon,RB,GB,13.0,93.5,95.0,105.8,1.2,,,,0.4,,,,,,0.0,,,4.3,,,10.9,82.7,,,618.4,
brown_WR_TB,Antonio Brown,WR,TB,9.0,93.5,91.8,96.8,0.5,,,,7.1,,,,,,,,,0.0,,,75.1,848.4,0.0,,22.0,
hurts_QB_PHI,Jalen Hurts,QB,PHI,14.0,94.8,91.8,97.8,3.2,,,20.5,,,,,,,1.3,,,6.0,3538.2,,,,14.0,,794.1,
fant_TE_DEN,Noah Fant,TE,DEN,11.0,95.0,84.3,82.8,1.0,,,,4.6,,,,,,,,,0.0,,,64.9,763.4,0.0,,0.9,
goedert_TE_PHI,Dallas Goedert,TE,PHI,14.0,96.5,93.0,94.0,1.0,,,,4.5,,,,,,,,,0.0,,,58.4,669.7,0.0,,0.4,
landry_WR_CLE,Jarvis Landry,WR,CLE,13.0,97.3,108.3,102.6,0.5,,,,5.8,,,,,,,,,0.4,,,78.9,941.5,0.0,,17.0,
cooks_WR_HOU,Brandin Cooks,WR,HOU,10.0,99.3,100.8,94.0,1.0,,,,6.0,,,,,,,,,0.0,,,82.2,1195.0,0.0,,9.8,
singletary_RB_BUF,Devin Singletary,RB,BUF,7.0,101.3,111.3,114.8,1.3,,,,1.0,,,,,,0.0,,,2.4,,,35.1,265.3,0.0,,537.0,
gronkowski_TE_TB,Rob Gronkowski,TE,TB,9.0,101.5,113.3,128.0,0.0,,,,5.8,,,,,,,,,0.0,,,43.9,555.0,0.0,,0.7,
rams_DST_LAR,Rams,DST,LAR,11.0,103.3,100.0,110.0,11.0,22.2,,,,,11.0,,1.9,14.8,,46.0,,,,,,,,0.8,,
burrow_QB_CIN,Joe Burrow,QB,CIN,10.0,105.3,111.5,109.0,2.1,,,26.7,,,,,,,1.0,,,3.2,4335.2,,,,13.2,,243.3,
steelers_DST_PIT,Steelers,DST,PIT,7.0,105.8,106.0,112.2,11.0,21.6,,,,,11.0,,2.0,15.7,,46.7,,,,,,,,0.8,,
shenault_WR_JAX,Laviska Shenault Jr.,WR,JAX,7.0,106.0,105.5,93.6,0.5,,,,4.3,,,,,,,,,0.6,,,65.1,717.0,,,111.1,
davis_WR_NYJ,Corey Davis,WR,NYJ,6.0,107.8,106.5,100.0,1.0,,,,4.3,,,,,,,,,0.0,,,70.3,962.5,0.0,,3.2,
johnson_RB_HOU,David Johnson,RB,HOU,10.0,109.0,107.5,124.4,1.0,,,,2.3,,,,,,0.3,,,3.6,,,35.4,336.2,0.0,,484.7,
buccaneers_DST_TB,Buccaneers,DST,TB,9.0,109.5,106.0,108.4,11.6,21.5,,,,,11.6,,2.0,16.9,,47.7,,,,,,,,0.9,,
drake_RB_LV,Kenyan Drake,RB,LV,8.0,109.8,108.0,107.6,1.4,,,,1.0,,,,,,0.6,,,5.2,,,39.4,282.9,,,598.7,
pittman_WR_IND,Michael Pittman Jr.,WR,IND,14.0,112.8,124.0,109.6,0.5,,,,3.9,,,,,,,,,0.0,,,63.4,846.9,0.0,,29.9,
williams_RB_DET,Jamaal Williams,RB,DET,9.0,114.3,113.5,117.2,2.0,,,,1.3,,,,,,0.5,,,3.2,,,35.6,256.6,,,570.7,
fuller_WR_MIA,Will Fuller V,WR,MIA,14.0,116.8,112.5,109.8,0.5,,,,6.4,,,,,,,,,0.0,,,74.3,998.9,0.0,,2.3,
waddle_WR_MIA,Jaylen Waddle,WR,MIA,14.0,116.8,116.0,106.0,1.0,,,,5.0,,,,,,,,,0.0,,,60.6,849.9,0.0,,17.1,
williams_WR_LAC,Mike Williams,WR,LAC,7.0,117.0,122.5,125.0,1.0,,,,5.0,,,,,,,,,0.0,,,57.9,932.9,0.0,,1.6,
team_DST_WSH,Team,DST,WSH,9.0,117.8,111.3,122.4,10.7,22.9,,,,,10.7,,1.8,16.2,,47.7,,,,,,,,0.3,,
gesicki_TE_MIA,Mike Gesicki,TE,MIA,14.0,118.3,115.8,111.6,1.0,,,,5.6,,,,,,,,,0.0,,,57.0,681.7,0.0,,0.5,
tucker_K_BAL,Justin Tucker,K,BAL,8.0,118.5,119.8,126.8,,,8.9,,,50.8,,3.8,,,,,10.1,,,0.2,,,,,,8.4
michel_RB_LAR,Sony Michel,RB,LAR,11.0,120.8,130.0,126.0,1.2,,,,1.0,,,,,,0.0,,,4.9,,,19.1,163.6,,,680.6,
higbee_TE_LAR,Tyler Higbee,TE,LAR,11.0,121.8,99.5,112.6,0.5,,,,4.7,,,,,,,,,0.0,,,56.1,636.0,0.0,,2.0,
ravens_DST_BAL,Ravens,DST,BAL,8.0,122.5,117.8,123.6,12.4,20.7,,,,,12.4,,2.0,14.3,,37.6,,,,,,,,0.8,,
butker_K_KC,Harrison Butker,K,KC,12.0,124.5,122.5,130.0,,,9.9,,,44.4,,4.7,,,,,9.0,,,0.3,,,,,,8.7
gallup_WR_DAL,Michael Gallup,WR,DAL,7.0,125.8,128.0,118.2,1.0,,,,6.2,,,,,,,,,0.0,,,67.9,1006.8,0.0,,0.8,
pollard_RB_DAL,Tony Pollard,RB,DAL,7.0,127.0,129.0,131.4,1.3,,,,1.1,,,,0.2,,0.6,,,3.3,,,28.6,221.1,,,469.2,
brown_WR_BAL,Marquise Brown,WR,BAL,8.0,127.5,141.8,125.2,0.5,,,,7.3,,,,,,,,,0.2,,,67.0,911.7,0.0,,18.0,
hardman_WR_KC,Mecole Hardman,WR,KC,12.0,127.5,132.3,134.2,1.5,,,,5.3,,,,0.8,,,,,0.1,,,56.4,740.6,0.0,,56.5,
ruggs_WR_LV,Henry Ruggs III,WR,LV,8.0,127.5,137.8,126.4,1.6,,,,4.1,,,,0.3,,,,,0.1,,,48.0,766.2,0.0,,70.4,
ryan_QB_ATL,Matt Ryan,QB,ATL,6.0,129.3,144.3,141.4,3.0,,,28.0,,,,,,,2.1,,,1.3,4706.6,,,,14.2,,92.1,
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,7.0,130.0,131.8,126.0,0.9,,,25.5,,,,,,,1.5,,,2.6,4174.4,,,,14.4,,302.9,
samuel_WR_WSH,Curtis Samuel,WR,WSH,9.0,130.5,128.0,116.4,0.6,,,,5.3,,,,,,,,,0.7,,,77.9,890.9,0.0,,164.8,
callaway_WR_NO,Marquez Callaway,WR,NO,6.0,133.3,128.0,130.6,0.5,,,,4.5,,,,0.1,,,,,0.0,,,64.9,796.0,0.0,,5.0,
