key,name,pos,team,bye,std,half_ppr,ppr,df_ints,rush_tds,two_pts,fumbles,kick_20_29,pass_yds,kick_extra_points,df_points_allowed_per_game,kick_50,df_safeties,pass_tds,reception_tds,rush_yds,receptions,df_fumbles,kick_40_49,pass_ints,reception_yds,df_tds,kick_30_39,df_sacks,kick_0_19
kieft_TE_TB,Ko Kieft,TE,TB,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.5,0.0,9.0,,,,92.0,,,,
kolar_TE_BAL,Charlie Kolar,TE,BAL,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,1.0,0.0,9.5,,,,92.0,,,,
kroft_TE_SF,Tyler Kroft,TE,SF,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,1.0,0.0,11.0,,,,125.0,,,,
lewis_TE_GB,Marcedes Lewis,TE,GB,,-1.0,-1.0,-1.0,,0.0,,1.0,,,,,,,,1.5,1.0,19.2,,,,196.4,,,,
likely_TE_BAL,Isaiah Likely,TE,BAL,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,1.0,0.0,9.5,,,,91.5,,,,
lions_DST_DET,Lions,DST,DET,6.0,-1.0,-1.0,169.0,13.9,,,9.9,,,,26.7,,0.3,,,,,9.9,,,,1.7,,37.0,
long_TE_MIA,Hunter Long,TE,MIA,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.5,0.0,8.0,,,,75.0,,,,
lovett_QB_MIA,John Lovett,QB,MIA,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.3,37.3,1.8,,,,22.0,,,,
mabry_TE_SEA,Tyler Mabry,TE,SEA,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,4.0,,,,36.0,,,,
mack_TE_GB,Alize Mack,TE,GB,,-1.0,-1.0,-1.0,,,,0.0,,,,,,,,1.0,,12.0,,,,122.0,,,,
manhertz_TE_JAX,Chris Manhertz,TE,JAX,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,1.1,0.3,7.3,,,,81.2,,,,
mannion_QB_MIN,Sean Mannion,QB,MIN,,-1.0,-1.0,-1.0,,0.0,0.4,0.1,,177.6,,,,,1.2,,8.3,,,,1.0,,,,,
markway_TE_LAR,Kyle Markway,TE,LAR,,-1.0,-1.0,-1.0,,,,0.0,,,,,,,,1.0,,12.0,,,,132.0,,,,
mccloud_WR_SF,Ray-Ray McCloud III,WR,SF,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.3,3.7,14.0,,,,180.3,,,,
mccoy_QB_ARI,Colt McCoy,QB,ARI,,-1.0,-1.0,-1.0,,0.0,0.3,0.0,,197.9,,,,,0.9,,7.4,,,,0.9,,,,,
mcfarland_RB_PIT,Anthony McFarland Jr.,RB,PIT,,-1.0,-1.0,-1.0,,1.0,0.0,0.2,,,,,,,,0.2,133.9,6.2,,,,42.2,,,,
mckeon_TE_DAL,Sean McKeon,TE,DAL,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.7,0.4,5.2,,,,52.7,,,,
mckitty_TE_LAC,Tre' McKitty,TE,LAC,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.9,0.3,9.6,,,,90.4,,,,
mcmath_WR_TEN,Racey McMath,WR,TEN,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.6,0.3,6.5,,,,84.8,,,,
mcnichols_RB_PIT,Jeremy McNichols,RB,PIT,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.0,62.5,8.5,,,,60.5,,,,
melton_WR_SEA,Bo Melton,WR,SEA,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,2.0,,,,19.0,,,,
miller_WR_PIT,Anthony Miller,WR,PIT,,-1.0,-1.0,-1.0,,0.1,,0.0,,,,,,,,1.0,11.9,17.9,,,,224.7,,,,
miller_WR_TB,Scotty Miller,WR,TB,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.1,3.9,1.9,,,,24.7,,,,
milne_WR_WSH,Dax Milne,WR,WSH,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.4,1.2,,,,12.3,,,,
mims_WR_NYJ,Denzel Mims,WR,NYJ,,-1.0,-1.0,-1.0,,0.0,,,,,,,,,,0.0,0.0,1.0,,,,20.0,,,,
mitchell_TE_DET,James Mitchell,TE,DET,,-1.0,-1.0,-1.0,,0.0,,0.0,,,,,,,,0.5,0.0,7.0,,,,62.0,,,,
mond_QB_MIN,Kellen Mond,QB,MIN,,-1.0,-1.0,-1.0,,0.0,,0.0,,106.0,,,,,1.0,,4.0,,,,0.0,,,,,
montgomery_WR_NE,Ty Montgomery,WR,NE,,-1.0,-1.0,-1.0,,0.2,,0.0,,,,,,,,0.1,18.4,2.5,,,,33.1,,,,
