key,name,pos,team,pass_tds,pass_yds,pass_ints,rush_tds,rush_yds,receptions,reception_tds,reception_yds,two_pts,fumbles,kick_0_19,kick_20_29,kick_30_39,kick_40_49,kick_50,kick_extra_points,df_points_allowed_per_game,df_sacks,df_safeties,df_fumbles,df_tds,df_ints
rosen_QB_MIA,Josh Rosen,QB,MIA,16.87,3004.17,14.28,1.46,171.63,,,,1.32,0.83,,,,,,,,,,,,
fuller_WR_HOU,Will Fuller,WR,HOU,,,0.01,0.02,13.47,60.13,6.28,865.26,,,,,,,,,,,,,,
jones_WR_DET,Marvin Jones,WR,DET,,,0.01,0.01,2.53,56.33,6.32,898.79,,,,,,,,,,,,,,
pettis_WR_SF,Dante Pettis,WR,SF,,,0.01,,11.21,56.35,6.53,870.95,,0.01,,,,,,,,,,,0.11,
anderson_WR_NYJ,Robby Anderson,WR,NYJ,,,0.01,0.07,11.3,61.05,6.25,836.94,,0.01,,,,,,,,,,,,
engram_TE_NYG,Evan Engram,TE,NYG,,,0.01,0.35,40.05,66.56,5.41,779.11,,0.04,,,,,,,,,,,,
manning_QB_NYG,Eli Manning,QB,NYG,18.18,3053.48,9.33,0.59,9.99,,,,1.27,0.3,,,,,,,,,,,,
kirk_WR_ARI,Christian Kirk,WR,ARI,,,0.01,0.14,32.83,65.7,5.26,785.35,,0.03,,,,,,,,,,,0.09,
cook_TE_NO,Jared Cook,TE,NO,,,0.01,,1.35,68.49,4.94,787.03,,,,,,,,,,,,,,
moore_WR_CAR,D.J. Moore,WR,CAR,,,0.01,0.36,88.84,58.72,4.29,791.56,,0.11,,,,,,,,,,,0.08,
white_RB_NE,James White,RB,NE,,,,2.07,253.3,62.76,2.51,573.64,0.53,0.02,,,,,,,,,,,,
ginn_WR_NO,Ted Ginn,WR,NO,,,0.01,0.61,60.26,54.66,4.23,842.19,,0.04,,,,,,,,,,,,
tate_WR_NYG,Golden Tate,WR,NYG,,,0.01,0.06,12.01,68.53,4.12,773.73,,0.03,,,,,,,,,,,,
ridley_WR_ATL,Calvin Ridley,WR,ATL,,,0.01,0.02,9.72,62.15,5.88,731.71,,0.01,,,,,,,,,,,0.02,
fitzgerald_WR_ARI,Larry Fitzgerald,WR,ARI,,,0.01,,1.82,64.62,5.07,748.44,,,,,,,,,,,,,,
davis_WR_TEN,Corey Davis,WR,TEN,,,0.01,0.21,31.75,60.69,4.46,778.4,,0.04,,,,,,,,,,,,
barber_RB_TB,Peyton Barber,RB,TB,,,0.01,6.21,903.82,21.33,0.86,176.41,0.05,1.2,,,,,,,,,,,,
