name,pos,team,fpts,each_fumble_recovered,each_interception,each_pass_completed_&_each_pass_attempted,each_reception,each_sack,extra_points_made_,fantasy_points,field_goals_made_,interceptions_thrown,passing_yards,points_allowed,receiving_target,receiving_yards,receiving_yards_per_catch,rushing_attempts,rushing_yards,rushing_yards_per_attempt,td_pass,td_reception,td_rush,total_return_td,yards_allowed
Mike Badgley,K,LAC,116.0,,,,,,40.0,116.0,16.0,,,,,,,,,,,,,,
Adam Vinatieri,K,IND,114.4,,,,,,44.0,114.4,15.0,,,,,,,,,,,,,,
Brett Maher,K,DAL,116.0,,,,,,40.0,116.0,17.0,,,,,,,,,,,,,,
Albert Wilson,WR,MIA,81.9,,,,51.0,,,81.9,,,,,76.0,609.0,12.0,11.0,58.0,,,2.0,0.0,,
Paul Richardson,WR,WSH,83.9,,,,43.0,,,83.9,,,,,75.0,639.0,14.7,4.0,23.0,,,3.0,0.0,,
Marquez Valdes-Scantling,WR,GB,77.5,,,,38.0,,,77.5,,,,,66.0,540.0,14.2,4.0,19.0,,,4.0,0.0,,
DJ Chark,WR,JAX,72.4,,,,44.0,,,72.4,,,,,73.0,554.0,12.7,0.0,0.0,,,3.0,0.0,,
Deebo Samuel,WR,SF,84.4,,,,48.0,,,84.4,,,,,76.0,602.0,12.5,4.0,23.0,,,3.0,0.0,,
DK Metcalf,WR,SEA,75.1,,,,38.0,,,75.1,,,,,61.0,506.0,13.4,0.0,0.0,,,4.0,0.0,,
Kyle Rudolph,TE,MIN,81.0,,,,51.0,,,81.0,,,,,69.0,503.0,10.0,0.0,0.0,,,5.0,0.0,,
Jordan Reed,TE,WSH,78.3,,,,58.0,,,78.3,,,,,86.0,593.0,10.2,0.0,0.0,,,3.0,0.0,,
Jameis Winston,QB,TB,278.3,,,353.0,,,,278.3,,17.0,4493.0,,,,,64.0,291.0,,26.0,,1.0,,
Lamar Jackson,QB,BAL,267.2,,,268.0,,,,267.2,,10.0,3177.0,,,,,154.0,778.0,,15.0,,5.0,,
Jalen Richard,RB,OAK,75.0,,,,56.0,,,75.0,,,,,,455.0,,39.0,177.0,4.6,,1.0,1.0,,
Dion Lewis,RB,TEN,80.4,,,,48.0,,,80.4,,,,,,363.0,,79.0,305.0,3.9,,1.0,1.0,,
Damien Harris,RB,NE,46.7,,,,9.0,,,46.7,,,,,,76.0,,61.0,258.0,4.2,,0.0,2.0,,
Giovani Bernard,RB,CIN,79.3,,,,41.0,,,79.3,,,,,,322.0,,75.0,320.0,4.3,,1.0,2.0,,
Duke Johnson Jr.,RB,CLE,69.6,,,,42.0,,,69.6,,,,,,383.0,,38.0,166.0,4.4,,2.0,1.0,,
Chris Thompson,RB,WSH,69.4,,,,46.0,,,69.4,,,,,,362.0,,43.0,195.0,4.6,,1.0,1.0,,
Jimmy Graham,TE,GB,83.4,,,,47.0,,,83.4,,,,,72.0,554.0,11.7,0.0,0.0,,,5.0,0.0,,
Chris Herndon,TE,NYJ,87.0,,,,47.0,,,87.0,,,,,73.0,597.0,12.6,0.0,0.0,,,5.0,0.0,,
Marqise Lee,WR,JAX,89.4,,,,54.0,,,89.4,,,,,90.0,689.0,12.7,4.0,25.0,,,3.0,0.0,,
Andy Isabella,WR,ARI,76.4,,,,41.0,,,76.4,,,,,67.0,543.0,13.2,4.0,24.0,,,3.0,0.0,,
Tre'Quan Smith,WR,NO,55.3,,,,27.0,,,55.3,,,,,43.0,373.0,13.7,0.0,0.0,,,3.0,0.0,,
Hakeem Butler,WR,ARI,66.2,,,,31.0,,,66.2,,,,,57.0,472.0,15.0,0.0,0.0,,,3.0,0.0,,
Kirk Cousins,QB,MIN,265.8,,,369.0,,,,265.8,,10.0,3914.0,,,,,44.0,134.0,,26.0,,3.0,,
Theo Riddick,RB,DET,67.0,,,,56.0,,,67.0,,,,,,393.0,,32.0,130.0,4.0,,2.0,1.0,,
Jamaal Williams,RB,GB,82.4,,,,21.0,,,82.4,,,,,,174.0,,106.0,433.0,4.1,,1.0,3.0,,
Ito Smith,RB,ATL,78.0,,,,23.0,,,78.0,,,,,,172.0,,96.0,381.0,4.0,,1.0,3.0,,
Jaylen Samuels,RB,PIT,60.8,,,,25.0,,,60.8,,,,,,201.0,,61.0,262.0,4.3,,1.0,1.0,,
Alexander Mattison,RB,MIN,45.9,,,,8.0,,,45.9,,,,,,63.0,,66.0,264.0,4.0,,0.0,2.0,,
Texans D/ST,D/ST,HOU,86.6,10.0,12.0,,,34.0,,86.6,,,,355.0,,,,,,,,,,3.0,5697.0
Titans D/ST,D/ST,TEN,92.4,8.0,13.0,,,39.0,,92.4,,,,339.0,,,,,,,,,,3.0,5650.0
Matt Prater,K,DET,112.9,,,,,,35.0,112.9,17.0,,,,,,,,,,,,,,
Jake Elliott,K,PHI,112.6,,,,,,39.0,112.6,16.0,,,,,,,,,,,,,,
Noah Fant,TE,DEN,73.4,,,,48.0,,,73.4,,,,,73.0,537.0,11.3,0.0,0.0,,,3.0,0.0,,
Kareem Hunt,RB,CLE,55.0,,,,11.0,,,55.0,,,,,,108.0,,60.0,274.0,4.6,,1.0,2.0,,
Adrian Peterson,RB,WSH,65.4,,,,7.0,,,65.4,,,,,,51.0,,107.0,439.0,4.1,,0.0,3.0,,
DeVante Parker,WR,MIA,83.8,,,,50.0,,,83.8,,,,,87.0,663.0,13.2,0.0,0.0,,,3.0,0.0,,
A.J. Brown,WR,TEN,74.5,,,,44.0,,,74.5,,,,,68.0,551.0,12.6,0.0,0.0,,,3.0,0.0,,
Ted Ginn Jr.,WR,NO,88.3,,,,40.0,,,88.3,,,,,70.0,594.0,14.8,9.0,60.0,,,4.0,0.0,,
C.J. Anderson,RB,DET,81.8,,,,4.0,,,81.8,,,,,,30.0,,120.0,540.0,4.5,,0.0,4.0,,
Gus Edwards,RB,BAL,67.7,,,,3.0,,,67.7,,,,,,28.0,,120.0,543.0,4.5,,0.0,2.0,,
Devin Singletary,RB,BUF,36.3,,,,7.0,,,36.3,,,,,,59.0,,51.0,226.0,4.5,,0.0,1.0,,
