adp,bye,name,pos,team,key
326.3,10,Vernon Davis,TE,WAS,davis_TE_WAS
314.0,10,Wendell Smallwood,RB,PHI,smallwood_RB_PHI
286.0,10,Matt LaCosse,TE,NE,lacosse_TE_NE
287.0,12,Charles Clay,TE,ARI,clay_TE_ARI
310.5,11,Wayne Gallman,RB,NYG,gallman_RB_NYG
290.0,10,Kelvin Harmon,WR,WAS,harmon_WR_WAS
291.0,8,Chris Moore,WR,BAL,moore_WR_BAL
291.0,5,Preston Williams,WR,MIA,williams_WR_MIA
292.0,10,Terry McLaurin,WR,WAS,mclaurin_WR_WAS
293.0,9,Qadree Ollison,RB,ATL,ollison_RB_ATL
294.0,7,Jordan Scarlett,RB,CAR,scarlett_RB_CAR
297.0,4,Jalen Hurd,WR,SF,hurd_WR_SF
325.0,8,Blake Jarwin,TE,DAL,jarwin_TE_DAL
299.0,9,Rodney Anderson,RB,CIN,anderson_RB_CIN
328.0,11,Jonnu Smith,TE,TEN,smith_TE_TEN
300.0,9,Teddy Bridgewater,QB,NO,bridgewater_QB_NO
316.0,10,Devontae Booker,RB,DEN,booker_RB_DEN
301.0,11,J.D. McKissic,RB,SEA,mckissic_RB_SEA
302.0,10,Kahale Warring,TE,HOU,warring_TE_HOU
330.5,8,Miles Boykin,WR,BAL,boykin_WR_BAL
317.5,7,Breshad Perriman,WR,TB,perriman_WR_TB
332.0,12,Travis Benjamin,WR,LAC,benjamin_WR_LAC
335.5,6,Cordarrelle Patterson,WR,CHI,patterson_WR_CHI
309.0,7,Matt Gay,K,TB,gay_K_TB
338.5,10,Dontrelle Inman,WR,NE,inman_WR_NE
314.0,5,Jakeem Grant,WR,MIA,grant_WR_MIA
315.0,4,Kyle Juszczyk,RB,SF,juszczyk_RB_SF
317.0,11,Ryan Tannehill,QB,TEN,tannehill_QB_TEN
317.0,10,Tim Patrick,WR,DEN,patrick_WR_DEN
318.0,11,Jake Kumerow,WR,GB,kumerow_WR_GB
318.0,12,Laquon Treadwell,WR,MIN,treadwell_WR_MIN
319.0,6,Marcell Ateman,WR,OAK,ateman_WR_OAK
320.0,9,Josh Reynolds,WR,LAR,reynolds_WR_LAR
320.0,6,Eddy Pineiro,K,CHI,pineiro_K_CHI
321.0,10,Alex Smith,QB,WAS,smith_QB_WAS
323.0,6,Jordan Wilkins,RB,IND,wilkins_RB_IND
328.5,11,Nick Vannett,TE,SEA,vannett_TE_SEA
324.0,7,Ryan Switzer,WR,PIT,switzer_WR_PIT
324.0,6,Chris Warren III,RB,OAK,warren_RB_OAK
325.0,7,Jarius Wright,WR,CAR,wright_WR_CAR
349.5,7,Andre Ellington,RB,TB,ellington_RB_TB
335.5,7,Cameron Artis-Payne,RB,CAR,artispayne_RB_CAR
329.0,10,James Develin,RB,NE,develin_RB_NE
330.0,5,Mark Walton,RB,MIA,walton_RB_MIA
331.0,11,Jace Sternberger,TE,GB,sternberger_TE_GB
336.5,7,Rashard Higgins,WR,CLE,higgins_WR_CLE
335.0,6,Dawson Knox,TE,BUF,knox_TE_BUF
336.0,9,Trayveon Williams,RB,CIN,williams_RB_CIN
337.0,9,Taysom Hill,QB,NO,hill_QB_NO
339.0,11,Paul Perkins,RB,NYG,perkins_RB_NYG
341.0,9,Keith Kirkwood,WR,NO,kirkwood_WR_NO
347.0,10,Samaje Perine,RB,WAS,perine_RB_WAS
351.0,10,Josh Adams,RB,PHI,adams_RB_PHI
353.0,5,Jermaine Kearse,WR,DET,kearse_WR_DET
354.0,4,Trent Taylor,WR,SF,taylor_WR_SF
355.0,6,Chester Rogers,WR,IND,rogers_WR_IND
356.0,11,Jaron Brown,WR,SEA,brown_WR_SEA
370.0,11,Corey Coleman,WR,NYG,coleman_WR_NYG
371.0,9,Cameron Meredith,WR,NO,meredith_WR_NO
