key,name,pos,team,bye,std,half_ppr,ppr
conner_RB_ARI,James Conner,RB,ARI,12,92.0,96.8,102.0
carter_RB_NYJ,Michael Carter,RB,NYJ,6,92.5,91.3,91.8
dillon_RB_GB,AJ Dillon,RB,GB,13,93.5,95.0,105.8
brown_WR_TB,Antonio Brown,WR,TB,9,93.5,91.8,96.8
hurts_QB_PHI,Jalen Hurts,QB,PHI,14,94.8,91.8,97.8
fant_TE_DEN,Noah Fant,TE,DEN,11,95.0,84.3,82.8
goedert_TE_PHI,Dallas Goedert,TE,PHI,14,96.5,93.0,94.0
landry_WR_CLE,Jarvis Landry,WR,CLE,13,97.3,108.3,102.6
cooks_WR_HOU,Brandin Cooks,WR,HOU,10,99.3,100.8,94.0
singletary_RB_BUF,Devin Singletary,RB,BUF,7,101.3,111.3,114.8
gronkowski_TE_TB,Rob Gronkowski,TE,TB,9,101.5,113.3,128.0
rams_DST_LAR,Rams,DST,LAR,11,103.3,100.0,110.0
burrow_QB_CIN,Joe Burrow,QB,CIN,10,105.3,111.5,109.0
steelers_DST_PIT,Steelers,DST,PIT,7,105.8,106.0,112.2
shenault_WR_JAX,Laviska Shenault Jr.,WR,JAX,7,106.0,105.5,93.6
davis_WR_NYJ,Corey Davis,WR,NYJ,6,107.8,106.5,100.0
johnson_RB_HOU,David Johnson,RB,HOU,10,109.0,107.5,124.4
buccaneers_DST_TB,Buccaneers,DST,TB,9,109.5,106.0,108.4
drake_RB_LV,Kenyan Drake,RB,LV,8,109.8,108.0,107.6
pittman_WR_IND,Michael Pittman Jr.,WR,IND,14,112.8,124.0,109.6
williams_RB_DET,Jamaal Williams,RB,DET,9,114.3,113.5,117.2
fuller_WR_MIA,Will Fuller V,WR,MIA,14,116.8,112.5,109.8
waddle_WR_MIA,Jaylen Waddle,WR,MIA,14,116.8,116.0,106.0
williams_WR_LAC,Mike Williams,WR,LAC,7,117.0,122.5,125.0
team_DST_WSH,Team,DST,WSH,9,117.8,111.3,122.4
gesicki_TE_MIA,Mike Gesicki,TE,MIA,14,118.3,115.8,111.6
tucker_K_BAL,Justin Tucker,K,BAL,8,118.5,119.8,126.8
michel_RB_LAR,Sony Michel,RB,LAR,11,120.8,130.0,126.0
higbee_TE_LAR,Tyler Higbee,TE,LAR,11,121.8,99.5,112.6
ravens_DST_BAL,Ravens,DST,BAL,8,122.5,117.8,123.6
butker_K_KC,Harrison Butker,K,KC,12,124.5,122.5,130.0
gallup_WR_DAL,Michael Gallup,WR,DAL,7,125.8,128.0,118.2
pollard_RB_DAL,Tony Pollard,RB,DAL,7,127.0,129.0,131.4
ruggs_WR_LV,Henry Ruggs III,WR,LV,8,127.5,137.8,126.4
hardman_WR_KC,Mecole Hardman,WR,KC,12,127.5,132.3,134.2
brown_WR_BAL,Marquise Brown,WR,BAL,8,127.5,141.8,125.2
ryan_QB_ATL,Matt Ryan,QB,ATL,6,129.3,144.3,141.4
lawrence_QB_JAX,Trevor Lawrence,QB,JAX,7,130.0,131.8,126.0
samuel_WR_WSH,Curtis Samuel,WR,WSH,9,130.5,128.0,116.4
callaway_WR_NO,Marquez Callaway,WR,NO,6,133.3,128.0,130.6
bills_DST_BUF,Bills,DST,BUF,7,134.0,160.3,143.6
mayfield_QB_CLE,Baker Mayfield,QB,CLE,13,135.0,141.8,136.0
mooney_WR_CHI,Darnell Mooney,WR,CHI,10,136.8,136.3,124.2
murray_RB_NO,Latavius Murray,RB,NO,6,137.0,148.0,165.6
ers_DST_SF,49ers,DST,SF,6,138.0,130.0,141.0
jones_WR_JAX,Marvin Jones Jr.,WR,JAX,7,138.3,142.0,123.4
koo_K_ATL,Younghoe Koo,K,ATL,6,138.5,132.8,142.2
fields_QB_CHI,Justin Fields,QB,CHI,10,139.5,149.5,139.2
hines_RB_IND,Nyheim Hines,RB,IND,14,139.5,137.8,127.4
mattison_RB_MIN,Alexander Mattison,RB,MIN,7,141.3,151.0,155.6
lance_QB_SF,Trey Lance,QB,SF,6,142.8,152.3,143.2
smith_TE_NE,Jonnu Smith,TE,NE,14,144.3,157.0,126.2
parker_WR_MIA,DeVante Parker,WR,MIA,14,148.0,164.0,146.2
mckissic_RB_WSH,J.D. McKissic,RB,WSH,9,148.8,161.0,141.0
bass_K_BUF,Tyler Bass,K,BUF,7,150.5,139.0,155.4
beasley_WR_BUF,Cole Beasley,WR,BUF,7,153.3,156.5,146.4
colts_DST_IND,Colts,DST,IND,14,153.8,166.0,154.2
roethlisberger_QB_PIT,Ben Roethlisberger,QB,PIT,7,156.3,169.3,161.8
cousins_QB_MIN,Kirk Cousins,QB,MIN,7,156.5,162.8,157.2
lindsay_RB_HOU,Phillip Lindsay,RB,HOU,10,156.8,159.0,144.2
cook_TE_LAC,Jared Cook,TE,LAC,7,159.0,174.3,165.4
engram_TE_NYG,Evan Engram,TE,NYG,10,159.5,173.3,152.6
stevenson_RB_NE,Rhamondre Stevenson,RB,NE,14,161.5,169.0,175.8
winston_QB_NO,Jameis Winston,QB,NO,6,161.8,178.8,167.8
ertz_TE_PHI,Zach Ertz,TE,PHI,14,163.3,162.3,164.8
patriots_DST_NE,Patriots,DST,NE,14,163.3,174.0,158.6
sanders_K_MIA,Jason Sanders,K,MIA,14,167.8,158.0,162.8
blankenship_K_IND,Rodrigo Blankenship,K,IND,14,168.5,171.8,172.0
tagovailoa_QB_MIA,Tua Tagovailoa,QB,MIA,14,172.8,173.8,160.0
