,name,pos,pts_ppr_cbs,pts_cbs,pts_nfl,pts_fox,pts_2018
321,curtis_samuel,WR,62.0,35.0,35.06,,
322,josh_reynolds,WR,60.0,34.0,21.04,,
323,mack_hollins,WR,59.0,34.0,20.75,,
324,torrey_smith,WR,58.0,32.0,52.21,109.2,
325,jakeem_grant,WR,58.0,32.0,36.32,2.6,
326,hunter_sharp,WR,54.0,31.0,,,
327,jeremy_kerley,WR,54.0,31.0,54.71,109.1,
328,sammie_coates,WR,53.0,29.0,10.25,72.8,
329,keke_coutee,WR,50.0,24.0,29.21,,
330,justin_hardy,WR,39.0,23.0,22.72,36.0,
331,j'mon_moore,WR,30.0,15.0,,,
332,daesean_hamilton,WR,29.0,15.0,29.65,,
333,brandon_lafell,WR,29.0,15.0,79.54,111.2,
334,rashard_higgins,WR,20.0,14.0,44.54,22.0,
335,justin_hunter,WR,20.0,9.0,,42.2,
336,tajae_sharpe,WR,19.0,9.0,55.33,87.8,
337,eli_rogers,WR,16.0,8.0,,58.8,
338,josh_bellamy,WR,16.0,8.0,20.7,44.3,
339,kendrick_bourne,WR,15.0,6.0,42.87,,
340,damiere_byrd,WR,15.0,6.0,21.76,,
341,demarcus_robinson,WR,13.0,6.0,22.44,,
342,tavon_austin,WR,13.0,5.0,,99.0,
343,travis_rudolph,WR,12.0,5.0,,,
344,de'anthony_thomas,WR,11.0,5.0,,12.1,
345,austin_carr,WR,10.0,5.0,3.34,,
346,corey_fuller,WR,10.0,5.0,,4.5,
347,markus_wheaton,WR,10.0,5.0,,48.2,
348,marquez_valdes-scantling,WR,10.0,5.0,27.61,,
349,equanimeous_st_brown,WR,10.0,5.0,,,
350,nick_williams,WR,10.0,5.0,,,
351,jarius_wright,WR,9.0,4.0,,4.8,
352,trey_quinn,WR,9.0,4.0,26.73,,
353,richie_james,WR,9.0,4.0,,,
354,justin_watson,WR,9.0,4.0,15.3,,
355,wendall_williams,WR,9.0,4.0,,6.0,
356,daurice_fountain,WR,9.0,4.0,0.0,,
357,geremy_davis,WR,9.0,4.0,5.91,,
358,harry_douglas,WR,9.0,4.0,,28.8,
359,charone_peake,WR,9.0,4.0,,8.7,
360,alex_erickson,WR,9.0,3.0,0.0,7.4,
361,jordan_lasley,WR,8.0,3.0,19.76,,
362,ed_eagan,WR,8.0,3.0,,,
363,mike_thomas,WR,8.0,3.0,,2.8,
364,reggie_davis,WR,7.0,3.0,0.0,,
365,josh_malone,WR,7.0,3.0,28.02,,
366,ryan_switzer,WR,7.0,3.0,12.05,,
367,russell_gage,WR,7.0,3.0,22.78,,
368,marcus_johnson,WR,7.0,3.0,17.15,,
369,auden_tate,WR,7.0,3.0,28.0,,
370,shelton_gibson,WR,7.0,3.0,7.05,,
371,freddie_martino,WR,7.0,3.0,9.46,6.5,
372,javon_wims,WR,7.0,3.0,,,
373,tommylee_lewis,WR,6.0,3.0,6.68,5.2,
374,ray-ray_mccloud,WR,6.0,2.0,,,
375,maurice_harris,WR,6.0,2.0,10.94,10.1,
376,chris_matthews,WR,6.0,2.0,,,
377,darrius_heyward-bey,WR,6.0,2.0,4.01,32.2,
378,jd_mckissic,WR,6.0,2.0,36.54,,
379,shane_wynn,WR,6.0,2.0,,,
380,cody_core,WR,5.0,2.0,0.0,6.7,
381,trevor_davis,WR,5.0,2.0,13.11,,
382,pharoh_cooper,WR,4.0,1.0,14.06,18.9,
383,marvin_hall,WR,4.0,1.0,9.21,,
384,brittan_golden,WR,4.0,1.0,,11.3,
385,jeff_janis,WR,4.0,1.0,,12.8,
386,chris_thompson,WR,3.0,1.0,,,
387,noah_brown,WR,3.0,1.0,0.0,,
388,jordan_taylor,WR,3.0,1.0,,15.6,
389,andre_roberts,WR,3.0,0.0,0.56,22.6,
390,ced_wilson,WR,3.0,0.0,,,
391,arrelious_benn,WR,3.0,0.0,0.0,13.4,
392,ardarius_stewart,WR,2.0,0.0,,,
393,kalif_raymond,WR,2.0,0.0,,,
394,dwayne_harris,WR,1.0,0.0,3.79,25.5,
395,vince_mayle,WR,1.0,0.0,,,
396,isaiah_mckenzie,WR,0.0,0.0,18.8,,
397,justin_hardee,WR,0.0,0.0,0.0,,
398,eric_weems,WR,0.0,-1.0,,2.7,
399,travis_kelce,TE,229.0,141.0,137.91,119.3,217.3
400,rob_gronkowski,TE,214.0,139.0,159.93,100.1,251.1
401,zach_ertz,TE,186.0,111.0,121.99,90.4,212.1
402,evan_engram,TE,162.0,95.0,109.94,,
403,delanie_walker,TE,162.0,94.0,115.81,127.3,
404,jordan_reed,TE,162.0,94.0,96.78,96.0,
405,kyle_rudolph,TE,161.0,93.0,86.82,76.8,
406,jimmy_graham,TE,159.0,91.0,89.74,98.9,
407,trey_burton,TE,156.0,90.0,76.05,27.0,
408,greg_olsen,TE,146.0,86.0,112.31,144.8,
409,jack_doyle,TE,144.0,83.0,99.61,63.0,
410,george_kittle,TE,141.0,82.0,94.91,,
411,charles_clay,TE,139.0,81.0,82.94,82.9,
412,jared_cook,TE,130.0,75.0,92.15,51.5,
413,austin_seferian-jenkins,TE,127.0,74.0,61.0,32.4,
414,david_njoku,TE,127.0,74.0,56.31,,
415,eric_ebron,TE,126.0,73.0,103.98,87.8,
416,benjamin_watson,TE,125.0,73.0,77.8,,
417,cameron_brate,TE,123.0,73.0,83.47,82.9,
418,vance_mcdonald,TE,116.0,72.0,74.8,46.3,
419,vernon_davis,TE,115.0,71.0,68.73,48.7,
420,ricky_seals-jones,TE,111.0,69.0,98.25,,
421,tyler_eifert,TE,109.0,67.0,94.02,48.2,
422,mike_gesicki,TE,104.0,67.0,29.27,,
423,hayden_hurst,TE,102.0,66.0,48.93,,
424,austin_hooper,TE,101.0,56.0,57.42,40.2,
425,garrett_celek,TE,101.0,54.0,32.25,50.8,
426,oj_howard,TE,101.0,51.0,64.19,,
427,antonio_gates,TE,89.0,51.0,70.96,71.2,
428,luke_willson,TE,87.0,50.0,32.64,29.0,
429,jesse_james,TE,87.0,47.0,26.42,56.1,
430,dallas_goedert,TE,85.0,46.0,34.67,,
431,tyler_higbee,TE,80.0,45.0,42.46,21.7,
432,ryan_griffin,TE,79.0,41.0,63.81,52.8,
433,jeff_heuerman,TE,73.0,40.0,34.64,7.3,
434,blake_jarwin,TE,71.0,39.0,53.98,,
435,virgil_green,TE,70.0,39.0,16.7,48.6,
436,jonnu_smith,TE,69.0,39.0,26.02,,
437,jermaine_gresham,TE,68.0,36.0,46.07,43.3,
438,nick_vannett,TE,67.0,35.0,32.09,4.3,
439,jordan_akins,TE,63.0,34.0,17.65,,
440,jake_butt,TE,63.0,33.0,60.3,,
441,dwayne_allen,TE,60.0,33.0,10.39,58.3,
442,marqueis_gray,TE,59.0,33.0,12.65,29.8,
443,rhett_ellison,TE,58.0,30.0,32.52,7.8,
444,marcedes_lewis,TE,53.0,29.0,18.77,25.7,
445,tyler_kroft,TE,53.0,28.0,22.69,20.4,
446,david_morgan,TE,49.0,28.0,10.75,,
447,ed_dickson,TE,49.0,25.0,0.0,18.4,
448,josh_hill,TE,47.0,21.0,37.35,28.2,
449,jordan_leggett,TE,39.0,17.0,11.08,,
450,chris_herndon,TE,39.0,17.0,17.38,,
451,darren_fells,TE,31.0,16.0,15.65,37.6,
452,rico_gathers,TE,30.0,15.0,16.04,,
453,demetrius_harris,TE,29.0,14.0,0.0,19.1,
454,gerald_everett,TE,28.0,14.0,33.38,,
455,will_dissly,TE,27.0,13.0,48.02,,
456,mark_andrews,TE,26.0,13.0,21.29,,
457,adam_shaheen,TE,26.0,10.0,16.54,,
458,seth_devalve,TE,19.0,9.0,,15.6,
459,aj_derby,TE,19.0,8.0,45.17,9.3,
460,dalton_schultz,TE,18.0,8.0,17.22,,
461,durham_smythe,TE,18.0,8.0,,,
462,ian_thomas,TE,17.0,8.0,32.73,,
463,lance_kendricks,TE,16.0,7.0,11.33,74.3,
464,troy_niklas,TE,16.0,7.0,,,
465,dion_sims,TE,15.0,7.0,15.95,53.1,
466,nick_boyle,TE,14.0,6.0,30.32,,
